Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Ederson,br BRA,GK,27.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,manchester_city,2021-2022
João Cancelo,pt POR,DF,27.0,36,36,3227.0,35.9,1.0,7.0,8.0,1.0,0.0,0.0,7.0,0.0,4.0,4.0,5.4,9.3,125.0,357.0,270.0,0.03,0.2,0.22,0.03,0.22,0.11,0.15,0.26,0.11,0.26,Matches,manchester_city,2021-2022
Rodri,es ESP,MF,25.0,33,33,2884.0,32.0,7.0,2.0,9.0,7.0,0.0,0.0,5.0,0.0,2.3,2.3,1.4,3.7,43.0,285.0,47.0,0.22,0.06,0.28,0.22,0.28,0.07,0.04,0.11,0.07,0.11,Matches,manchester_city,2021-2022
Bernardo Silva,pt POR,"MF,FW",26.0,35,33,2857.0,31.7,8.0,4.0,12.0,8.0,0.0,0.0,6.0,0.0,6.7,6.7,6.5,13.2,146.0,170.0,277.0,0.25,0.13,0.38,0.25,0.38,0.21,0.21,0.42,0.21,0.42,Matches,manchester_city,2021-2022
Aymeric Laporte,es ESP,DF,27.0,33,33,2828.0,31.4,4.0,0.0,4.0,4.0,0.0,0.0,5.0,1.0,4.9,4.9,0.6,5.5,51.0,271.0,8.0,0.13,0.0,0.13,0.13,0.13,0.16,0.02,0.18,0.16,0.18,Matches,manchester_city,2021-2022
Rúben Dias,pt POR,DF,24.0,29,27,2402.0,26.7,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,2.7,2.7,3.2,5.9,33.0,139.0,4.0,0.07,0.15,0.22,0.07,0.22,0.1,0.12,0.22,0.1,0.22,Matches,manchester_city,2021-2022
Kevin De Bruyne,be BEL,MF,30.0,30,25,2201.0,24.5,15.0,8.0,23.0,15.0,0.0,0.0,2.0,0.0,5.7,5.7,10.4,16.1,84.0,204.0,175.0,0.61,0.33,0.94,0.61,0.94,0.23,0.42,0.66,0.23,0.66,Matches,manchester_city,2021-2022
Phil Foden,eng ENG,FW,21.0,28,24,2128.0,23.6,9.0,5.0,14.0,9.0,0.0,0.0,1.0,0.0,9.4,9.4,6.3,15.7,71.0,98.0,248.0,0.38,0.21,0.59,0.38,0.59,0.4,0.27,0.66,0.4,0.66,Matches,manchester_city,2021-2022
Raheem Sterling,eng ENG,FW,26.0,30,23,2128.0,23.6,13.0,5.0,18.0,11.0,2.0,3.0,1.0,0.0,14.0,11.5,5.5,17.0,108.0,65.0,317.0,0.55,0.21,0.76,0.47,0.68,0.59,0.23,0.82,0.49,0.72,Matches,manchester_city,2021-2022
Jack Grealish,eng ENG,FW,25.0,26,22,1914.0,21.3,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,5.3,5.3,6.0,11.3,153.0,100.0,267.0,0.14,0.14,0.28,0.14,0.28,0.25,0.28,0.53,0.25,0.53,Matches,manchester_city,2021-2022
Gabriel Jesus,br BRA,FW,24.0,28,21,1877.0,20.9,8.0,8.0,16.0,7.0,1.0,1.0,1.0,0.0,9.8,9.0,5.7,14.7,51.0,55.0,220.0,0.38,0.38,0.77,0.34,0.72,0.47,0.28,0.74,0.43,0.71,Matches,manchester_city,2021-2022
İlkay Gündoğan,de GER,MF,30.0,27,20,1857.0,20.6,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,9.0,9.0,4.9,13.9,60.0,126.0,107.0,0.39,0.19,0.58,0.39,0.58,0.44,0.24,0.67,0.44,0.67,Matches,manchester_city,2021-2022
Kyle Walker,eng ENG,DF,31.0,20,20,1755.0,19.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.3,1.5,43.0,146.0,65.0,0.0,0.1,0.1,0.0,0.1,0.01,0.06,0.08,0.01,0.08,Matches,manchester_city,2021-2022
Riyad Mahrez,dz ALG,FW,30.0,28,15,1498.0,16.6,11.0,5.0,16.0,7.0,4.0,5.0,0.0,0.0,10.1,6.2,4.2,10.4,74.0,70.0,234.0,0.66,0.3,0.96,0.42,0.72,0.61,0.25,0.86,0.37,0.62,Matches,manchester_city,2021-2022
John Stones,eng ENG,DF,27.0,14,12,1119.0,12.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.2,1.1,28.0,63.0,7.0,0.08,0.0,0.08,0.08,0.08,0.07,0.01,0.09,0.07,0.09,Matches,manchester_city,2021-2022
Oleksandr Zinchenko,ua UKR,DF,24.0,15,10,1047.0,11.6,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.7,3.2,32.0,113.0,88.0,0.0,0.34,0.34,0.0,0.34,0.04,0.23,0.27,0.04,0.27,Matches,manchester_city,2021-2022
Fernandinho,br BRA,"MF,DF",36.0,19,10,964.0,10.7,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,1.0,2.5,16.0,81.0,11.0,0.19,0.09,0.28,0.19,0.28,0.15,0.09,0.24,0.15,0.24,Matches,manchester_city,2021-2022
Nathan Aké,nl NED,DF,26.0,14,10,923.0,10.3,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.7,0.7,0.6,1.2,12.0,57.0,8.0,0.2,0.0,0.2,0.2,0.2,0.07,0.06,0.12,0.07,0.12,Matches,manchester_city,2021-2022
Ferrán Torres,es ESP,FW,21.0,4,4,303.0,3.4,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,2.8,2.8,0.0,2.8,5.0,4.0,26.0,0.59,0.3,0.89,0.59,0.89,0.83,0.01,0.84,0.83,0.84,Matches,manchester_city,2021-2022
