Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,team_name,season,Sh,SoT,Dist,SoTA,Saves,PSxG,Cmp,Att,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,PrgC,Carries_Att_3rd,Mis,Dis,CrdY,CrdR,Fls,Fld,Off,Recov,Aerials_Won,Aerials_Lost
2021-08-15,16:30,Premier League,Matchweek 1,Sun,Away,L,0,1,Tottenham,1.8,1.0,65.0,58262.0,Fernandinho,4-3-3,4-3-3,Anthony Taylor,Match Report,,manchester_city,2021-2022,18.0,4.0,17.3,2.0,1.0,0.8,493.0,602.0,7528.0,2608.0,0.0,1.2,1.2,2.0,58.0,13.0,40.0,1.0,30.0,11.0,35.0,0.0,16.0,11.0,4.0,12.0,0.0,7.0,3.0,11.0,0.0,690.0,37.0,126.0,369.0,201.0,35.0,34.0,21.0,13.0,8.0,1,0,8.0,11.0,1.0,53.0,19.0,14.0
2021-08-21,15:00,Premier League,Matchweek 2,Sat,Home,W,5,0,Norwich City,2.6,0.1,67.0,51437.0,İlkay Gündoğan,4-3-3,4-3-3,Graham Scott,Match Report,,manchester_city,2021-2022,16.0,4.0,18.5,0.0,0.0,0.0,709.0,781.0,11832.0,3037.0,3.0,2.3,1.9,0.0,75.0,11.0,77.0,10.0,26.0,6.0,28.0,7.0,14.0,8.0,2.0,6.0,6.0,3.0,6.0,3.0,0.0,849.0,21.0,70.0,459.0,323.0,46.0,30.0,15.0,13.0,12.0,1,0,13.0,6.0,2.0,38.0,9.0,3.0
2021-08-28,12:30,Premier League,Matchweek 3,Sat,Home,W,5,0,Arsenal,4.4,0.2,80.0,52276.0,İlkay Gündoğan,4-3-3,5-4-1,Martin Atkinson,Match Report,,manchester_city,2021-2022,25.0,10.0,14.8,0.0,0.0,0.0,721.0,813.0,10729.0,3207.0,4.0,3.8,3.6,6.0,69.0,21.0,52.0,1.0,30.0,14.0,49.0,10.0,14.0,10.0,2.0,8.0,4.0,3.0,4.0,3.0,0.0,879.0,34.0,145.0,387.0,350.0,45.0,32.0,27.0,8.0,2.0,1,0,5.0,7.0,1.0,45.0,13.0,9.0
2021-09-11,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Leicester City,2.8,0.6,61.0,32087.0,İlkay Gündoğan,4-3-3,4-2-3-1,Paul Tierney,Match Report,,manchester_city,2021-2022,25.0,8.0,14.3,1.0,1.0,0.4,535.0,618.0,9246.0,2784.0,0.0,2.1,1.9,4.0,76.0,17.0,55.0,4.0,31.0,8.0,42.0,1.0,14.0,7.0,6.0,4.0,4.0,7.0,5.0,9.0,0.0,712.0,38.0,144.0,346.0,228.0,44.0,23.0,14.0,16.0,9.0,2,0,11.0,4.0,4.0,53.0,8.0,12.0
2021-09-18,15:00,Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,1.0,0.4,64.0,52698.0,Fernandinho,4-3-3,4-4-2,Jonathan Moss,Match Report,,manchester_city,2021-2022,16.0,1.0,16.4,2.0,2.0,0.3,521.0,612.0,8760.0,3012.0,0.0,0.9,0.8,3.0,42.0,12.0,32.0,4.0,23.0,8.0,31.0,0.0,13.0,10.0,7.0,6.0,0.0,13.0,8.0,13.0,0.0,729.0,61.0,219.0,343.0,172.0,27.0,30.0,17.0,18.0,9.0,0,0,5.0,10.0,4.0,51.0,22.0,15.0
2021-09-25,12:30,Premier League,Matchweek 6,Sat,Away,W,1,0,Chelsea,1.7,0.2,59.0,40036.0,Rúben Dias,4-3-3,3-5-2,Michael Oliver,Match Report,,manchester_city,2021-2022,15.0,3.0,17.1,0.0,0.0,0.0,547.0,645.0,9516.0,2930.0,1.0,1.5,0.9,0.0,50.0,13.0,44.0,2.0,26.0,13.0,29.0,1.0,16.0,9.0,3.0,7.0,6.0,11.0,8.0,17.0,0.0,750.0,58.0,164.0,384.0,204.0,31.0,35.0,20.0,14.0,7.0,2,0,10.0,12.0,4.0,53.0,9.0,18.0
2021-10-03,16:30,Premier League,Matchweek 7,Sun,Away,D,2,2,Liverpool,1.2,0.9,51.0,53102.0,Rúben Dias,4-3-3,4-3-3,Paul Tierney,Match Report,,manchester_city,2021-2022,12.0,3.0,17.0,3.0,1.0,1.8,476.0,581.0,8284.0,2788.0,1.0,1.1,0.9,2.0,37.0,9.0,30.0,8.0,14.0,4.0,23.0,4.0,11.0,9.0,8.0,3.0,0.0,9.0,8.0,18.0,0.0,670.0,75.0,233.0,312.0,133.0,26.0,29.0,14.0,16.0,12.0,3,0,12.0,10.0,5.0,55.0,9.0,9.0
2021-10-16,15:00,Premier League,Matchweek 8,Sat,Home,W,2,0,Burnley,2.1,0.9,70.0,52711.0,Kevin De Bruyne,4-3-3,4-4-2,Martin Atkinson,Match Report,,manchester_city,2021-2022,15.0,6.0,14.4,2.0,2.0,0.1,711.0,813.0,11067.0,3210.0,0.0,0.9,1.2,1.0,75.0,9.0,63.0,7.0,24.0,6.0,26.0,3.0,11.0,6.0,5.0,4.0,2.0,4.0,10.0,11.0,1.0,905.0,80.0,244.0,355.0,312.0,51.0,32.0,20.0,16.0,8.0,1,0,11.0,5.0,0.0,53.0,11.0,15.0
2021-10-23,17:30,Premier League,Matchweek 9,Sat,Away,W,4,1,Brighton,3.8,1.3,52.0,31215.0,İlkay Gündoğan,4-3-3,3-5-2,Kevin Friend,Match Report,,manchester_city,2021-2022,23.0,12.0,16.0,5.0,4.0,1.2,517.0,599.0,8670.0,2673.0,4.0,3.5,1.0,0.0,36.0,18.0,35.0,3.0,7.0,6.0,40.0,6.0,7.0,3.0,5.0,0.0,2.0,10.0,8.0,18.0,0.0,699.0,71.0,193.0,318.0,195.0,35.0,27.0,20.0,12.0,6.0,3,0,6.0,9.0,1.0,48.0,5.0,14.0
2021-10-30,15:00,Premier League,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,0.7,0.7,68.0,53014.0,Rúben Dias,4-3-3,4-3-3,Andre Marriner,Match Report,,manchester_city,2021-2022,14.0,3.0,17.7,3.0,1.0,1.4,602.0,724.0,10379.0,3023.0,0.0,0.6,0.9,2.0,68.0,11.0,46.0,3.0,32.0,7.0,25.0,0.0,16.0,10.0,4.0,9.0,3.0,6.0,6.0,3.0,1.0,807.0,37.0,163.0,383.0,263.0,43.0,34.0,24.0,12.0,12.0,2,1,11.0,10.0,2.0,51.0,13.0,14.0
