Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist
2015-02-04,22:00,Libertadores,First stage,Wed,Home,W,4,0,co Once Caldas,,35000.0,,,,Patricio Loustau,Match Report,Leg 1 of 2,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-02-11,19:00,Libertadores,First stage,Wed,Away,D,1,1,co Once Caldas,,15000.0,,,,Darío Ubríaco,Match Report,Leg 2 of 2; Corinthians won,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-02-18,22:00,Libertadores,Second stage,Wed,Home,W,2,0,br São Paulo,,50000.0,,,,Ricardo Marques Ribeiro,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-03-04,22:00,Libertadores,Second stage,Wed,Away,W,1,0,ar San Lorenzo,,,,,,Carlos Vera,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-03-17,19:30,Libertadores,Second stage,Tue,Away,W,2,1,uy Danubio,,,,,,Julio Bascuñán,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-04-01,22:00,Libertadores,Second stage,Wed,Home,W,4,0,uy Danubio,,,,,,Diego Haro,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-04-16,22:00,Libertadores,Second stage,Thu,Home,D,0,0,ar San Lorenzo,,41500.0,,,,Víctor Carrillo,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-04-22,22:00,Libertadores,Second stage,Wed,Away,L,0,2,br São Paulo,,40000.0,,,,Sandro Ricci,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-05-06,18:45,Libertadores,Round of 16,Wed,Away,L,0,2,py Guaraní,,10000.0,,4-2-3-1,5-4-1,Daniel Fedorczuk,Match Report,Leg 1 of 2,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-05-10,15:00,Série A,Matchweek 1,Sun,Away,W,1,0,Cruzeiro,44.0,8975.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-05-13,22:00,Libertadores,Round of 16,Wed,Home,L,0,1,py Guaraní,,,,,,Enrique Osses,Match Report,Leg 2 of 2; Guaraní won,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-05-16,21:00,Série A,Matchweek 2,Sat,Home,W,1,0,Chapecoense,46.0,10144.0,,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-05-24,16:00,Série A,Matchweek 3,Sun,Away,D,0,0,Fluminense,57.0,28572.0,,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-05-31,16:00,Série A,Matchweek 4,Sun,Home,L,0,2,Palmeiras,54.0,29479.0,,4-2-3-1,4-3-1-2,Vinicius Gonçalves Dias Araujo,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-06-03,22:00,Série A,Matchweek 5,Wed,Away,L,1,3,Grêmio,62.0,17971.0,,4-2-3-1,4-4-2,Wilton Sampaio,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-06-06,22:00,Série A,Matchweek 6,Sat,Away,W,1,0,Joinville,49.0,14131.0,,4-2-3-1,4-4-1-1,Dewson Fernando Freitas da Silva,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-06-13,16:30,Série A,Matchweek 7,Sat,Home,W,2,1,Internacional,48.0,27270.0,,4-2-3-1,4-2-2-2,Marcelo de Lima Henrique,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-06-20,16:30,Série A,Matchweek 8,Sat,Away,L,0,1,Santos,59.0,7674.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-06-27,21:00,Série A,Matchweek 9,Sat,Home,W,2,1,Figueirense,52.0,24786.0,,4-1-4-1,4-3-1-2,Igor Junior Benevenuto,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-07-02,19:30,Série A,Matchweek 10,Thu,Home,W,2,0,Ponte Preta,47.0,26649.0,,4-2-3-1,4-2-3-1,Thiago Duarte Peixoto,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-07-05,16:00,Série A,Matchweek 11,Sun,Away,D,0,0,Goiás,61.0,9579.0,,4-2-3-1,4-2-2-2,Heber Roberto Lopes,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-07-09,19:30,Série A,Matchweek 12,Thu,Home,W,2,0,Ath Paranaense,48.0,32442.0,,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-07-12,16:00,Série A,Matchweek 13,Sun,Away,W,3,0,Flamengo,40.0,26209.0,,4-2-3-1,4-1-4-1,Leandro Pedro Vuaden,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-07-18,21:00,Série A,Matchweek 14,Sat,Home,W,1,0,Atlético Mineiro,45.0,36280.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-07-26,16:00,Série A,Matchweek 15,Sun,Away,D,1,1,Coritiba,46.0,17225.0,,4-2-3-1,4-4-1-1,Pablo Dos Santos Alves,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-07-29,22:00,Série A,Matchweek 16,Wed,Home,W,3,0,Vasco da Gama,61.0,30340.0,,4-2-3-1,4-3-1-2,Leandro Pedro Vuaden,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-08-09,16:00,Série A,Matchweek 17,Sun,Away,D,1,1,São Paulo,41.0,31248.0,,4-2-3-1,3-4-1-2,Leandro Pedro Vuaden,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-08-12,22:00,Série A,Matchweek 18,Wed,Home,W,4,3,Sport Recife,53.0,30941.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-08-16,16:00,Série A,Matchweek 19,Sun,Away,W,2,1,Avaí,59.0,11389.0,,4-1-4-1,4-2-3-1,Anderson Daronco,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-08-23,16:00,Série A,Matchweek 20,Sun,Home,W,3,0,Cruzeiro,39.0,41014.0,,4-1-4-1,4-3-3,Péricles Bassols Pegado Cortez,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-08-30,16:00,Série A,Matchweek 21,Sun,Away,W,3,1,Chapecoense,49.0,13322.0,,4-1-4-1,4-3-2-1,Wilton Sampaio,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-09-02,22:00,Série A,Matchweek 22,Wed,Home,W,2,0,Fluminense,64.0,29328.0,,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-09-06,16:00,Série A,Matchweek 23,Sun,Away,D,3,3,Palmeiras,50.0,35707.0,,4-1-4-1,4-2-3-1,Raphael Claus,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-09-09,22:00,Série A,Matchweek 24,Wed,Home,D,1,1,Grêmio,54.0,30126.0,,4-1-4-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-09-13,11:00,Série A,Matchweek 25,Sun,Home,W,3,0,Joinville,66.0,41809.0,,4-1-4-1,4-2-3-1,Wilton Sampaio,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-09-16,22:00,Série A,Matchweek 26,Wed,Away,L,1,2,Internacional,52.0,19073.0,,4-1-4-1,4-3-1-2,Jailson Macêdo Freitas,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-09-20,11:00,Série A,Matchweek 27,Sun,Home,W,2,0,Santos,52.0,41748.0,,4-1-4-1,4-2-3-1,Flavio Rodrigues Guerra,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-09-27,16:00,Série A,Matchweek 28,Sun,Away,W,3,1,Figueirense,47.0,9484.0,,4-1-4-1,4-4-2,Marcelo de Lima Henrique,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-10-04,16:00,Série A,Matchweek 29,Sun,Away,D,2,2,Ponte Preta,53.0,10311.0,,4-1-4-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-10-15,19:30,Série A,Matchweek 30,Thu,Home,W,3,0,Goiás,60.0,40925.0,,4-1-4-1,4-4-2,Wagner Reway,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-10-18,16:00,Série A,Matchweek 31,Sun,Away,W,4,1,Ath Paranaense,50.0,23580.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-10-25,17:00,Série A,Matchweek 32,Sun,Home,W,1,0,Flamengo,54.0,43515.0,,4-1-4-1,4-2-3-1,Wilton Sampaio,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-11-01,17:00,Série A,Matchweek 33,Sun,Away,W,3,0,Atlético Mineiro,39.0,21798.0,,4-1-4-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-11-07,19:30,Série A,Matchweek 34,Sat,Home,W,2,1,Coritiba,60.0,43688.0,,4-1-4-1,4-4-2,Dewson Fernando Freitas da Silva,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-11-19,22:00,Série A,Matchweek 35,Thu,Away,D,1,1,Vasco da Gama,55.0,19225.0,,4-1-4-1,4-1-2-1-2,Anderson Daronco,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-11-22,17:00,Série A,Matchweek 36,Sun,Home,W,6,1,São Paulo,47.0,44976.0,,4-1-4-1,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-11-29,16:00,Série A,Matchweek 37,Sun,Away,L,0,2,Sport Recife,49.0,19048.0,,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-12-06,17:00,Série A,Matchweek 38,Sun,Home,D,1,1,Avaí,68.0,43389.0,,4-1-4-1,4-4-2,Leandro Pedro Vuaden,Match Report,,2015,brasileirao,24,2015 Corinthians,,,,,,
2015-02-18,21:00,Libertadores,Second stage,Wed,Away,L,0,2,cl Colo-Colo,,40000.0,,,,Mauro Vigliano,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-02-25,19:45,Libertadores,Second stage,Wed,Home,L,0,1,mx Atlas,,19000.0,,4-2-3-1,4-4-1-1,Darío Ubríaco,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-03-18,20:00,Libertadores,Second stage,Wed,Away,W,1,0,co Santa Fe,,,,,,Néstor Pitana,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-04-09,21:45,Libertadores,Second stage,Thu,Home,W,2,0,co Santa Fe,,,,,,Andrés Cunha,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-04-15,20:00,Libertadores,Second stage,Wed,Away,L,0,1,mx Atlas,,10000.0,,,,Patricio Loustau,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-04-22,19:45,Libertadores,Second stage,Wed,Home,W,2,0,cl Colo-Colo,,21274.0,,4-2-3-1,3-5-1-1,Carlos Vera,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-05-06,22:00,Libertadores,Round of 16,Wed,Home,D,2,2,br Internacional,,23000.0,,,,Wilmar Roldán,Match Report,Leg 1 of 2,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-05-09,18:30,Série A,Matchweek 1,Sat,Away,D,2,2,Palmeiras,51.0,28781.0,,4-2-3-1,4-2-3-1,Felipe Gomes da Silva,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-05-13,22:00,Libertadores,Round of 16,Wed,Away,L,1,3,br Internacional,,34000.0,,,,Julio Bascuñán,Match Report,Leg 2 of 2; Internacional won,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-05-17,16:00,Série A,Matchweek 2,Sun,Home,W,4,1,Fluminense,53.0,11958.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-05-24,16:00,Série A,Matchweek 3,Sun,Away,L,0,1,Ath Paranaense,64.0,13510.0,,4-2-3-1,4-2-3-1,Thiago Duarte Peixoto,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-05-31,16:00,Série A,Matchweek 4,Sun,Home,W,3,0,Vasco da Gama,52.0,17958.0,,4-2-3-1,4-2-3-1,Alisson Sidnei Furtado,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-06-03,22:00,Série A,Matchweek 5,Wed,Away,W,4,1,Avaí,55.0,7101.0,,4-2-3-1,4-4-1-1,Pablo Dos Santos Alves,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-06-06,18:30,Série A,Matchweek 6,Sat,Home,L,1,3,Cruzeiro,64.0,20092.0,,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-06-10,19:30,Série A,Matchweek 7,Wed,Home,D,2,2,Santos,61.0,10536.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-06-20,16:30,Série A,Matchweek 8,Sat,Away,W,2,0,Flamengo,46.0,42318.0,,4-1-4-1,4-2-3-1,Thiago Duarte Peixoto,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-06-28,11:00,Série A,Matchweek 9,Sun,Home,W,1,0,Joinville,61.0,55987.0,,4-2-3-1,4-2-3-1,Emerson Luiz Sobral,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-07-01,21:00,Série A,Matchweek 10,Wed,Home,W,2,0,Coritiba,59.0,13309.0,,4-2-3-1,4-2-2-2,Braulio da Silva Machado,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-07-05,18:30,Série A,Matchweek 11,Sun,Away,W,3,1,Internacional,54.0,16812.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-07-08,22:00,Série A,Matchweek 12,Wed,Home,W,2,1,Sport Recife,53.0,50684.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-07-11,21:00,Série A,Matchweek 13,Sat,Away,W,2,0,Ponte Preta,55.0,4733.0,,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-07-18,21:00,Série A,Matchweek 14,Sat,Away,L,0,1,Corinthians,55.0,36280.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-07-25,21:00,Série A,Matchweek 15,Sat,Home,W,1,0,Figueirense,62.0,16056.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-07-29,22:00,Série A,Matchweek 16,Wed,Home,W,3,1,São Paulo,49.0,47606.0,,4-3-2-1,3-4-1-2,Dewson Fernando Freitas da Silva,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-08-09,16:00,Série A,Matchweek 17,Sun,Away,D,0,0,Goiás,62.0,7762.0,,4-2-3-1,4-2-2-2,Raphael Claus,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-08-13,21:00,Série A,Matchweek 18,Thu,Home,L,0,2,Grêmio,59.0,49047.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-08-16,18:30,Série A,Matchweek 19,Sun,Away,L,1,2,Chapecoense,62.0,8133.0,,4-2-3-1,4-3-2-1,Marcos Andre Gomes da Penha,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-08-23,18:30,Série A,Matchweek 20,Sun,Home,W,2,1,Palmeiras,54.0,17464.0,,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-08-30,16:00,Série A,Matchweek 21,Sun,Away,W,2,1,Fluminense,57.0,20533.0,,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
2015-09-02,21:00,Série A,Matchweek 22,Wed,Home,L,0,1,Ath Paranaense,51.0,12064.0,,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,,2015,brasileirao,24,2015 Atlético Mineiro,,,,,,
