Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches,season,league_name,league_id,team_name
Rony,br BRA,FW,27.0,30,19,1639.0,18.2,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,6.1,6.1,1.8,7.8,17.0,11.0,99.0,0.27,0.0,0.27,0.27,0.27,0.33,0.1,0.43,0.33,0.43,Matches,2023,brasileirao,24,2023 Palmeiras
Endrick,br BRA,FW,16.0,31,18,1558.0,17.3,11.0,0.0,11.0,11.0,0.0,1.0,4.0,0.0,8.1,7.3,1.8,9.1,58.0,45.0,100.0,0.64,0.0,0.64,0.64,0.64,0.47,0.11,0.57,0.42,0.53,Matches,2023,brasileirao,24,2023 Palmeiras
Marcos Rocha,br BRA,DF,34.0,20,15,1264.0,14.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.9,1.2,20.0,94.0,31.0,0.07,0.07,0.14,0.07,0.14,0.02,0.06,0.09,0.02,0.09,Matches,2023,brasileirao,24,2023 Palmeiras
Breno,br BRA,FW,27.0,31,14,1365.0,15.2,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,6.7,6.7,1.1,7.8,44.0,37.0,110.0,0.33,0.2,0.53,0.33,0.53,0.44,0.08,0.51,0.44,0.51,Matches,2023,brasileirao,24,2023 Palmeiras
Dudu,br BRA,FW,31.0,14,14,1076.0,12.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,2.4,2.4,3.4,5.8,78.0,74.0,127.0,0.25,0.25,0.5,0.25,0.5,0.2,0.28,0.49,0.2,0.49,Matches,2023,brasileirao,24,2023 Palmeiras
Vanderlan,br BRA,DF,20.0,14,9,909.0,10.1,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,1.3,1.6,20.0,21.0,61.0,0.0,0.2,0.2,0.0,0.2,0.03,0.13,0.16,0.03,0.16,Matches,2023,brasileirao,24,2023 Palmeiras
Jhonatan Jowjow,br BRA,"MF,FW",20.0,20,8,891.0,9.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.2,1.2,2.9,4.1,16.0,37.0,37.0,0.0,0.1,0.1,0.0,0.1,0.12,0.29,0.41,0.12,0.41,Matches,2023,brasileirao,24,2023 Palmeiras
José López,ar ARG,"FW,MF",22.0,22,5,591.0,6.6,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,3.5,3.5,0.6,4.2,13.0,19.0,36.0,0.76,0.0,0.76,0.76,0.76,0.54,0.1,0.63,0.54,0.63,Matches,2023,brasileirao,24,2023 Palmeiras
Kaiky Naves,br BRA,"DF,FW",20.0,10,5,526.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2023,brasileirao,24,2023 Palmeiras
Luis Guilherme,br BRA,"FW,MF",16.0,19,4,576.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.2,1.9,35.0,29.0,54.0,0.0,0.0,0.0,0.0,0.0,0.12,0.19,0.31,0.12,0.31,Matches,2023,brasileirao,24,2023 Palmeiras
Fabinho,br BRA,MF,20.0,24,3,587.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.8,8.0,44.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.12,0.1,0.12,Matches,2023,brasileirao,24,2023 Palmeiras
García,br BRA,DF,21.0,5,3,293.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.1,5.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,2023,brasileirao,24,2023 Palmeiras
Marcelo Lomba,br BRA,GK,36.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2023,brasileirao,24,2023 Palmeiras
Kevin,br BRA,"FW,DF",20.0,7,2,232.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.3,0.9,14.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0.33,0.22,0.33,Matches,2023,brasileirao,24,2023 Palmeiras
Jailson Siqueira,br BRA,"MF,DF",27.0,8,1,163.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.6,0.0,6.0,3.0,0.0,0.55,0.55,0.0,0.55,0.2,0.15,0.36,0.2,0.36,Matches,2023,brasileirao,24,2023 Palmeiras
Rafael Navarro,br BRA,FW,22.0,3,1,125.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.1,1.3,2.0,6.0,8.0,0.72,0.0,0.72,0.72,0.72,0.86,0.06,0.92,0.86,0.92,Matches,2023,brasileirao,24,2023 Palmeiras
Bruno Tabata,br BRA,"MF,FW",25.0,5,1,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,6.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.28,0.05,0.33,0.28,0.33,Matches,2023,brasileirao,24,2023 Palmeiras
Ian Custódio,br BRA,DF,19.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Palmeiras
Giovani,br BRA,FW,19.0,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches,2023,brasileirao,24,2023 Palmeiras
Estevão,br BRA,DF,16.0,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Palmeiras
Eduard Atuesta,co COL,MF,25.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Palmeiras
Kauan Silva,br BRA,FW,18.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,1.75,1.75,1.75,Matches,2023,brasileirao,24,2023 Palmeiras
Leo Azevedo,br BRA,MF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Palmeiras
Ney Bahia,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Palmeiras
Kaique,br BRA,GK,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Palmeiras
Mateus,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Palmeiras
Michel,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Palmeiras
Vinicius Silvestre,br BRA,GK,28.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Palmeiras
Squad Total,,,26.9,38,418,3420.0,38.0,62.0,44.0,106.0,60.0,2.0,4.0,96.0,4.0,57.2,54.1,43.1,97.2,788.0,1593.0,1583.0,1.63,1.16,2.79,1.58,2.74,1.5,1.13,2.64,1.42,2.56,,2023,brasileirao,24,2023 Palmeiras
Opponent Total,,,27.4,38,418,3420.0,38.0,32.0,21.0,53.0,28.0,4.0,5.0,122.0,11.0,39.4,35.5,27.2,62.7,569.0,1222.0,1214.0,0.84,0.55,1.39,0.74,1.29,1.04,0.72,1.75,0.93,1.65,,2023,brasileirao,24,2023 Palmeiras
Luis Suárez,uy URU,FW,36.0,33,33,2877.0,32.0,17.0,11.0,28.0,16.0,1.0,2.0,8.0,0.0,13.9,12.4,5.8,18.2,38.0,107.0,297.0,0.53,0.34,0.88,0.5,0.84,0.44,0.18,0.62,0.39,0.57,Matches,2023,brasileirao,24,2023 Grêmio
Gabriel Chapecó,br BRA,GK,22.0,31,31,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
Franco Cristaldo,ar ARG,"MF,FW",26.0,34,31,2131.0,23.7,8.0,5.0,13.0,5.0,3.0,4.0,0.0,0.0,6.6,3.5,4.6,8.1,23.0,131.0,143.0,0.34,0.21,0.55,0.21,0.42,0.28,0.2,0.47,0.15,0.34,Matches,2023,brasileirao,24,2023 Grêmio
Reinaldo,br BRA,DF,33.0,30,30,2681.0,29.8,2.0,5.0,7.0,1.0,1.0,1.0,11.0,2.0,2.7,1.9,5.2,7.1,42.0,160.0,143.0,0.07,0.17,0.23,0.03,0.2,0.09,0.17,0.26,0.06,0.24,Matches,2023,brasileirao,24,2023 Grêmio
Mathías Villasanti,py PAR,MF,26.0,30,30,2645.0,29.4,4.0,6.0,10.0,4.0,0.0,0.0,8.0,1.0,1.6,1.6,3.5,5.1,32.0,150.0,32.0,0.14,0.2,0.34,0.14,0.34,0.06,0.12,0.17,0.06,0.17,Matches,2023,brasileirao,24,2023 Grêmio
Walter Kannemann,ar ARG,DF,31.0,28,28,2359.0,26.2,0.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,1.0,1.0,0.2,1.2,12.0,81.0,1.0,0.0,0.04,0.04,0.0,0.04,0.04,0.01,0.05,0.04,0.05,Matches,2023,brasileirao,24,2023 Grêmio
Bruno Fabiano Alves,br BRA,DF,31.0,29,27,2450.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6,0.6,0.0,0.6,6.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,2023,brasileirao,24,2023 Grêmio
João Pedro,br BRA,DF,26.0,29,23,2076.0,23.1,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.6,0.6,1.5,2.1,60.0,113.0,68.0,0.13,0.04,0.17,0.13,0.17,0.03,0.06,0.09,0.03,0.09,Matches,2023,brasileirao,24,2023 Grêmio
Felipe Carballo,uy URU,MF,26.0,22,21,1540.0,17.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,1.2,2.7,22.0,87.0,45.0,0.06,0.06,0.12,0.06,0.12,0.09,0.07,0.16,0.09,0.16,Matches,2023,brasileirao,24,2023 Grêmio
Bitelo,br BRA,"MF,FW",23.0,19,18,1550.0,17.2,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,3.6,3.6,3.8,7.3,40.0,92.0,132.0,0.23,0.06,0.29,0.23,0.29,0.21,0.22,0.43,0.21,0.43,Matches,2023,brasileirao,24,2023 Grêmio
Bruno Uvini,br BRA,DF,31.0,20,16,1448.0,16.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.7,1.6,3.0,40.0,1.0,0.06,0.0,0.06,0.06,0.06,0.05,0.04,0.1,0.05,0.1,Matches,2023,brasileirao,24,2023 Grêmio
João Pedro Pepê,br BRA,MF,25.0,18,16,1398.0,15.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,0.6,1.6,20.0,87.0,39.0,0.06,0.06,0.13,0.06,0.13,0.07,0.04,0.1,0.07,0.1,Matches,2023,brasileirao,24,2023 Grêmio
Fábio,br BRA,"DF,MF",32.0,15,12,871.0,9.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.8,1.0,23.0,41.0,68.0,0.0,0.21,0.21,0.0,0.21,0.02,0.08,0.1,0.02,0.1,Matches,2023,brasileirao,24,2023 Grêmio
João Pedro,it ITA,FW,30.0,14,10,616.0,6.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,1.4,8.0,6.0,37.0,0.0,0.15,0.15,0.0,0.15,0.15,0.05,0.2,0.15,0.2,Matches,2023,brasileirao,24,2023 Grêmio
Everton,br BRA,"FW,MF",25.0,28,9,1212.0,13.5,6.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,3.4,3.4,1.1,4.5,22.0,51.0,66.0,0.45,0.15,0.59,0.45,0.59,0.25,0.08,0.34,0.25,0.34,Matches,2023,brasileirao,24,2023 Grêmio
Rodrigo Ely,br BRA,DF,29.0,9,8,665.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2023,brasileirao,24,2023 Grêmio
Vinícius,br BRA,FW,31.0,14,8,654.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.9,1.9,1.0,2.9,11.0,44.0,39.0,0.14,0.0,0.14,0.14,0.14,0.26,0.13,0.39,0.26,0.39,Matches,2023,brasileirao,24,2023 Grêmio
Nathan,br BRA,"MF,FW",26.0,20,7,683.0,7.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,1.1,2.3,13.0,39.0,40.0,0.13,0.13,0.26,0.13,0.26,0.15,0.15,0.3,0.15,0.3,Matches,2023,brasileirao,24,2023 Grêmio
Ferreira,br BRA,"FW,MF",25.0,25,6,1145.0,12.7,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,3.0,3.0,2.3,5.2,53.0,61.0,128.0,0.31,0.24,0.55,0.31,0.55,0.23,0.18,0.41,0.23,0.41,Matches,2023,brasileirao,24,2023 Grêmio
Pedro Geromel,br BRA,DF,37.0,7,6,468.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2023,brasileirao,24,2023 Grêmio
Gustavo Martins Santos,br BRA,"DF,MF",20.0,17,5,689.0,7.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.2,1.2,9.0,41.0,9.0,0.13,0.13,0.26,0.13,0.26,0.14,0.03,0.16,0.14,0.16,Matches,2023,brasileirao,24,2023 Grêmio
Cuiabano,br BRA,"DF,MF",19.0,11,5,490.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.2,0.9,13.0,16.0,34.0,0.18,0.0,0.18,0.18,0.18,0.14,0.03,0.17,0.14,0.17,Matches,2023,brasileirao,24,2023 Grêmio
Ronald,br BRA,MF,19.0,10,5,418.0,4.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.3,0.9,3.0,21.0,5.0,0.22,0.0,0.22,0.22,0.22,0.12,0.07,0.19,0.12,0.19,Matches,2023,brasileirao,24,2023 Grêmio
Lucas Besozzi,ar ARG,"FW,MF",20.0,12,5,399.0,4.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.4,0.8,30.0,23.0,47.0,0.23,0.23,0.45,0.23,0.45,0.07,0.1,0.17,0.07,0.17,Matches,2023,brasileirao,24,2023 Grêmio
Diogo Barbosa,br BRA,DF,30.0,6,4,386.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,8.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,2023,brasileirao,24,2023 Grêmio
Caíque,br BRA,GK,25.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
Lucas Milla,br BRA,MF,20.0,8,4,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.0,0.3,5.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches,2023,brasileirao,24,2023 Grêmio
Thomas Luciano,br BRA,DF,21.0,6,3,312.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2023,brasileirao,24,2023 Grêmio
Lucas Silva,br BRA,MF,29.0,4,3,222.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,2023,brasileirao,24,2023 Grêmio
Nathan Fernandes,br BRA,"FW,MF",17.0,11,2,378.0,4.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2,1.1,14.0,9.0,40.0,0.24,0.24,0.48,0.24,0.48,0.23,0.04,0.27,0.23,0.27,Matches,2023,brasileirao,24,2023 Grêmio
Adriel,br BRA,GK,22.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
Andre Martins,br BRA,"FW,MF",21.0,21,1,368.0,4.1,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.3,1.3,0.7,2.0,7.0,16.0,29.0,0.73,0.0,0.73,0.73,0.73,0.31,0.17,0.48,0.31,0.48,Matches,2023,brasileirao,24,2023 Grêmio
Zinho,br BRA,"FW,MF",19.0,7,1,244.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.8,15.0,7.0,24.0,0.0,0.37,0.37,0.0,0.37,0.08,0.2,0.28,0.08,0.28,Matches,2023,brasileirao,24,2023 Grêmio
Josué,br BRA,MF,17.0,4,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,2023,brasileirao,24,2023 Grêmio
Brenno,br BRA,GK,23.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
Wesley,br BRA,DF,19.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
Juan Iturbe,py PAR,"FW,MF",29.0,5,1,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
Luan Vieira,br BRA,"FW,MF",29.0,5,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
Darlan Mendes,br BRA,MF,24.0,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2023,brasileirao,24,2023 Grêmio
Gustavinho,br BRA,"MF,FW",21.0,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.06,0.27,1.33,1.06,1.33,Matches,2023,brasileirao,24,2023 Grêmio
Freddy Noguera,py PAR,FW,19.0,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
Nata,br BRA,"FW,DF",21.0,2,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
Lian,br BRA,MF,17.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
João Araújo,br BRA,MF,17.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2023,brasileirao,24,2023 Grêmio
Ronald Barcellos,br BRA,FW,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Grêmio
Zé Guilherme,br BRA,DF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Grêmio
Gustavo Nunes,br BRA,MF,17.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Grêmio
Jhonata Robert,br BRA,FW,23.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Grêmio
Felipe Scheibig,br BRA,GK,22.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Grêmio
Gabriel Silva,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Grêmio
Viery,br BRA,DF,18.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2023,brasileirao,24,2023 Grêmio
Squad Total,,,27.9,38,418,3420.0,38.0,61.0,45.0,106.0,56.0,5.0,7.0,103.0,5.0,49.9,44.5,36.4,81.0,541.0,1541.0,1529.0,1.61,1.18,2.79,1.47,2.66,1.31,0.96,2.27,1.17,2.13,,2023,brasileirao,24,2023 Grêmio
