Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Giovanni Di Lorenzo,it ITA,DF,28.0,37,36,3257.0,36.2,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.7,2.7,4.7,7.4,73.0,256.0,182.0,0.08,0.11,0.19,0.08,0.19,0.07,0.13,0.2,0.07,0.2,Matches,napoli,2022-2023
Andre-Frank Zambo Anguissa,cm CMR,MF,26.0,36,36,3050.0,33.9,3.0,5.0,8.0,3.0,0.0,0.0,3.0,0.0,4.4,4.4,2.6,7.0,58.0,181.0,140.0,0.09,0.15,0.24,0.09,0.24,0.13,0.08,0.21,0.13,0.21,Matches,napoli,2022-2023
Kim Min-jae,kr KOR,DF,25.0,35,35,3050.0,33.9,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,1.9,2.9,42.0,169.0,8.0,0.06,0.06,0.12,0.06,0.12,0.03,0.06,0.09,0.03,0.09,Matches,napoli,2022-2023
Stanislav Lobotka,sk SVK,MF,27.0,38,34,3101.0,34.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,1.0,1.6,51.0,172.0,39.0,0.03,0.03,0.06,0.03,0.06,0.02,0.03,0.05,0.02,0.05,Matches,napoli,2022-2023
Alex Meret,it ITA,GK,25.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,napoli,2022-2023
Victor Osimhen,ng NGA,FW,23.0,32,30,2566.0,28.5,26.0,4.0,30.0,24.0,2.0,3.0,4.0,0.0,21.3,18.9,2.8,21.8,43.0,28.0,196.0,0.91,0.14,1.05,0.84,0.98,0.75,0.1,0.85,0.66,0.76,Matches,napoli,2022-2023
Khvicha Kvaratskhelia,ge GEO,FW,21.0,34,30,2518.0,28.0,12.0,10.0,22.0,10.0,2.0,2.0,1.0,0.0,8.2,6.6,7.7,14.2,139.0,91.0,291.0,0.43,0.36,0.79,0.36,0.71,0.29,0.27,0.56,0.23,0.51,Matches,napoli,2022-2023
Amir Rrahmani,xk KVX,DF,28.0,29,27,2448.0,27.2,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.8,1.8,1.0,2.9,23.0,135.0,5.0,0.07,0.04,0.11,0.07,0.11,0.07,0.04,0.11,0.07,0.11,Matches,napoli,2022-2023
Piotr Zieliński,pl POL,MF,28.0,37,27,2287.0,25.4,3.0,8.0,11.0,3.0,0.0,0.0,3.0,0.0,3.5,3.5,7.4,10.9,62.0,128.0,129.0,0.12,0.31,0.43,0.12,0.43,0.14,0.29,0.43,0.14,0.43,Matches,napoli,2022-2023
Mário Rui,pt POR,DF,31.0,22,21,1749.0,19.4,0.0,6.0,6.0,0.0,0.0,0.0,2.0,1.0,0.6,0.6,4.0,4.6,52.0,153.0,97.0,0.0,0.31,0.31,0.0,0.31,0.03,0.2,0.24,0.03,0.24,Matches,napoli,2022-2023
