Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,team_name,season,Sh,SoT,Dist,SoTA,Saves,PSxG,Cmp,Att,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,PrgC,Carries_Att_3rd,Mis,Dis,CrdY,CrdR,Fls,Fld,Off,Recov,Aerials_Won,Aerials_Lost
2020-09-26,20:45,Serie A,Matchweek 2,Sat,Home,W,4,3,Fiorentina,2.3,2.4,67.0,1000.0,Samir Handanović,3-4-1-2,3-5-2,Giampaolo Calvarese,Match Report,,internazionale,2020-2021,21.0,8.0,18.3,4.0,1.0,2.6,612.0,704.0,9518.0,3242.0,2,2.1,2.1,3.0,63.0,19.0,58.0,2.0,25.0,5.0,38.0,6.0,19.0,8.0,4.0,10.0,5.0,6.0,12.0,5.0,0.0,802.0,47.0,142.0,389.0,280.0,32.0,27.0,25.0,17.0,6.0,1,0,14.0,11.0,2.0,60.0,16.0,9.0
2020-09-30,18:00,Serie A,Matchweek 1,Wed,Away,W,5,2,Benevento,3.6,1.5,66.0,1000.0,Samir Handanović,3-4-1-2,4-3-3,Marco Piccinini,Match Report,,internazionale,2020-2021,18.0,8.0,15.5,5.0,3.0,1.6,637.0,706.0,10763.0,3333.0,4,2.5,2.4,3.0,55.0,14.0,41.0,8.0,8.0,1.0,31.0,8.0,7.0,6.0,2.0,5.0,0.0,5.0,12.0,20.0,1.0,803.0,73.0,258.0,378.0,172.0,30.0,21.0,14.0,12.0,6.0,0,0,15.0,10.0,3.0,46.0,8.0,7.0
2020-10-04,15:00,Serie A,Matchweek 3,Sun,Away,D,1,1,Lazio,0.6,1.2,60.0,1000.0,Samir Handanović,3-4-1-2,3-5-2,Marco Guida,Match Report,,internazionale,2020-2021,12.0,3.0,16.9,4.0,3.0,0.8,545.0,645.0,10269.0,2796.0,1,0.6,1.0,5.0,58.0,11.0,48.0,10.0,30.0,8.0,23.0,2.0,15.0,7.0,4.0,5.0,6.0,9.0,10.0,10.0,0.0,727.0,45.0,127.0,394.0,216.0,24.0,24.0,15.0,12.0,7.0,4,1,13.0,14.0,0.0,54.0,8.0,13.0
2020-10-17,18:00,Serie A,Matchweek 4,Sat,Home,L,1,2,Milan,2.8,2.1,55.0,1000.0,Samir Handanović,3-1-4-2,4-2-3-1,Maurizio Mariani,Match Report,,internazionale,2020-2021,18.0,5.0,13.7,4.0,1.0,1.5,396.0,492.0,6856.0,3010.0,0,2.1,2.1,5.0,55.0,15.0,32.0,4.0,18.0,3.0,33.0,2.0,11.0,7.0,4.0,6.0,1.0,8.0,14.0,11.0,0.0,594.0,62.0,182.0,252.0,166.0,36.0,18.0,13.0,21.0,3.0,3,0,18.0,11.0,2.0,44.0,15.0,25.0
2020-10-24,18:00,Serie A,Matchweek 5,Sat,Away,W,2,0,Genoa,1.7,0.0,60.0,1000.0,Samir Handanović,3-4-1-2,3-5-2,Davide Massa,Match Report,,internazionale,2020-2021,14.0,4.0,15.5,0.0,0.0,0.0,592.0,705.0,10387.0,3441.0,2,1.7,1.0,3.0,67.0,13.0,56.0,1.0,27.0,9.0,26.0,3.0,16.0,9.0,3.0,8.0,5.0,9.0,12.0,7.0,0.0,814.0,36.0,150.0,420.0,251.0,24.0,17.0,16.0,20.0,7.0,1,0,17.0,11.0,2.0,70.0,16.0,14.0
2020-10-31,18:00,Serie A,Matchweek 6,Sat,Home,D,2,2,Parma,2.9,0.9,68.0,,Samir Handanović,3-4-1-2,5-3-2,Marco Piccinini,Match Report,,internazionale,2020-2021,25.0,9.0,18.5,3.0,1.0,1.7,561.0,669.0,9935.0,2890.0,2,2.8,2.2,4.0,82.0,21.0,71.0,8.0,46.0,15.0,46.0,4.0,11.0,7.0,2.0,5.0,4.0,9.0,16.0,5.0,0.0,773.0,18.0,67.0,384.0,331.0,36.0,28.0,29.0,24.0,13.0,1,0,13.0,7.0,3.0,63.0,19.0,20.0
2020-11-08,15:00,Serie A,Matchweek 7,Sun,Away,D,1,1,Atalanta,0.9,1.0,48.0,,Samir Handanović,3-5-2,3-4-3,Daniele Doveri,Match Report,,internazionale,2020-2021,10.0,3.0,16.7,2.0,1.0,0.6,448.0,526.0,7016.0,2387.0,1,0.6,0.6,2.0,29.0,5.0,24.0,0.0,15.0,5.0,18.0,2.0,16.0,6.0,4.0,8.0,4.0,11.0,5.0,15.0,0.0,617.0,59.0,220.0,281.0,121.0,21.0,13.0,10.0,13.0,8.0,3,0,13.0,14.0,0.0,47.0,5.0,8.0
2020-11-22,15:00,Serie A,Matchweek 8,Sun,Home,W,4,2,Torino,4.0,2.1,56.0,,Samir Handanović,3-5-2,3-5-2,Federico La Penna,Match Report,,internazionale,2020-2021,12.0,3.0,14.1,6.0,4.0,2.7,482.0,564.0,8650.0,2899.0,3,3.5,2.2,1.0,55.0,10.0,38.0,1.0,20.0,1.0,22.0,6.0,23.0,8.0,7.0,10.0,6.0,10.0,10.0,3.0,0.0,660.0,46.0,152.0,336.0,178.0,31.0,14.0,12.0,15.0,9.0,3,0,20.0,12.0,4.0,45.0,13.0,12.0
2020-11-28,15:00,Serie A,Matchweek 9,Sat,Away,W,3,0,Sassuolo,1.2,0.7,35.0,,Samir Handanović,3-5-2,4-2-3-1,Massimiliano Irrati,Match Report,,internazionale,2020-2021,11.0,4.0,17.1,3.0,3.0,0.4,322.0,397.0,6581.0,2320.0,2,1.1,1.1,3.0,23.0,8.0,17.0,8.0,8.0,2.0,18.0,4.0,19.0,13.0,15.0,3.0,1.0,17.0,15.0,31.0,0.0,510.0,80.0,248.0,175.0,91.0,18.0,13.0,10.0,9.0,7.0,1,0,16.0,11.0,2.0,45.0,6.0,6.0
2020-12-05,20:45,Serie A,Matchweek 10,Sat,Home,W,3,1,Bologna,2.0,1.4,46.0,,Samir Handanović,3-5-2,3-4-3,Paolo Valeri,Match Report,,internazionale,2020-2021,14.0,7.0,15.0,7.0,6.0,1.3,414.0,506.0,7215.0,2165.0,3,1.9,1.1,4.0,33.0,11.0,37.0,2.0,20.0,7.0,22.0,6.0,10.0,7.0,4.0,4.0,2.0,9.0,7.0,15.0,1.0,592.0,54.0,170.0,268.0,159.0,22.0,21.0,11.0,9.0,7.0,1,0,12.0,11.0,2.0,51.0,11.0,9.0
