Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Leonardo Bonucci,it ITA,DF,32.0,35,35,3082.0,34.2,3.0,0.0,3.0,3.0,0.0,0.0,10.0,0.0,3.4,3.4,0.6,3.9,16.0,144.0,3.0,0.09,0.0,0.09,0.09,0.09,0.1,0.02,0.12,0.1,0.12,Matches,juventus,2019-2020
Cristiano Ronaldo,pt POR,FW,34.0,33,33,2917.0,32.4,31.0,5.0,36.0,19.0,12.0,13.0,3.0,0.0,28.6,18.4,6.4,24.7,167.0,118.0,321.0,0.96,0.15,1.11,0.59,0.74,0.88,0.2,1.08,0.57,0.76,Matches,juventus,2019-2020
Wojciech Szczęsny,pl POL,GK,29.0,29,29,2591.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,juventus,2019-2020
Juan Cuadrado,co COL,"DF,FW",31.0,33,28,2654.0,29.5,2.0,5.0,7.0,2.0,0.0,0.0,7.0,1.0,1.2,1.2,4.3,5.5,129.0,174.0,189.0,0.07,0.17,0.24,0.07,0.24,0.04,0.15,0.19,0.04,0.19,Matches,juventus,2019-2020
Miralem Pjanić,ba BIH,MF,29.0,30,28,2277.0,25.3,3.0,6.0,9.0,3.0,0.0,0.0,10.0,0.0,1.0,1.0,4.4,5.4,14.0,199.0,16.0,0.12,0.24,0.36,0.12,0.36,0.04,0.18,0.21,0.04,0.21,Matches,juventus,2019-2020
Alex Sandro,br BRA,DF,28.0,29,27,2385.0,26.5,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,2.1,2.8,91.0,151.0,83.0,0.04,0.11,0.15,0.04,0.15,0.03,0.08,0.11,0.03,0.11,Matches,juventus,2019-2020
Matthijs de Ligt,nl NED,DF,19.0,29,26,2450.0,27.2,4.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,2.4,2.4,0.2,2.6,10.0,88.0,2.0,0.15,0.0,0.15,0.15,0.15,0.09,0.01,0.1,0.09,0.1,Matches,juventus,2019-2020
Rodrigo Bentancur,uy URU,MF,22.0,30,25,2196.0,24.4,0.0,7.0,7.0,0.0,0.0,0.0,9.0,0.0,0.7,0.7,3.6,4.3,26.0,112.0,60.0,0.0,0.29,0.29,0.0,0.29,0.03,0.15,0.18,0.03,0.18,Matches,juventus,2019-2020
Paulo Dybala,ar ARG,"FW,MF",25.0,33,25,2155.0,23.9,11.0,6.0,17.0,10.0,1.0,1.0,5.0,0.0,9.4,8.6,6.7,15.3,101.0,135.0,204.0,0.46,0.25,0.71,0.42,0.67,0.39,0.28,0.67,0.36,0.64,Matches,juventus,2019-2020
Blaise Matuidi,fr FRA,MF,32.0,35,23,2237.0,24.9,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.6,2.5,22.0,95.0,118.0,0.0,0.08,0.08,0.0,0.08,0.04,0.07,0.1,0.04,0.1,Matches,juventus,2019-2020
