Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,team_name,season,Sh,SoT,Dist,SoTA,Saves,PSxG,Cmp,Att,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,PrgC,Carries_Att_3rd,Mis,Dis,CrdY,CrdR,Fls,Fld,Off,Recov,Aerials_Won,Aerials_Lost
2020-08-09,16:00,Série A,Matchweek 1,Sun,Home,L,0,1,Atlético Mineiro,2.2,0.7,63,,Everton Ribeiro,4-2-3-1,3-5-2,Raphael Claus,Match Report,,flamengo,2020,17,2,18.4,4,4,1.0,456.0,576.0,8456.0,3095.0,0,2.1,1.0,1.0,37.0,13.0,36.0,5.0,19,9.0,27.0,0.0,16.0,10,7.0,7.0,2.0,13.0,3,7.0,1.0,670.0,55.0,221.0,304.0,152.0,26.0,21.0,14.0,21.0,10.0,3,0,12,21,2,53.0,21.0,5.0
2020-08-12,20:30,Série A,Matchweek 2,Wed,Away,L,0,3,Atl Goianiense,1.0,1.8,65,,Everton Ribeiro,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,flamengo,2020,9,3,16.5,7,4,2.3,517.0,607.0,8210.0,2436.0,0,1.0,0.7,1.0,55.0,7.0,48.0,3.0,23,5.0,13.0,0.0,16.0,9,7.0,7.0,2.0,8.0,9,18.0,0.0,710.0,50.0,145.0,385.0,184.0,15.0,28.0,21.0,24.0,9.0,1,1,19,15,1,45.0,11.0,13.0
2020-08-15,19:30,Série A,Matchweek 3,Sat,Away,W,1,0,Coritiba,1.4,0.4,63,,Everton Ribeiro,4-2-3-1,4-4-2,Rodrigo D'Alonso Ferreira,Match Report,,flamengo,2020,18,7,20.1,2,2,0.4,504.0,580.0,9343.0,2771.0,1,1.2,0.9,3.0,36.0,15.0,46.0,11.0,18,5.0,34.0,2.0,18.0,14,9.0,7.0,2.0,11.0,18,9.0,1.0,673.0,52.0,179.0,319.0,180.0,20.0,31.0,14.0,13.0,9.0,3,0,16,24,1,46.0,18.0,11.0
2020-08-19,19:15,Série A,Matchweek 4,Wed,Home,D,1,1,Grêmio,1.1,1.7,60,,Everton Ribeiro,4-2-3-1,4-3-3,Rafael Traci,Match Report,,flamengo,2020,7,1,25.9,2,1,0.7,550.0,632.0,9373.0,3136.0,0,0.2,0.4,1.0,43.0,5.0,56.0,4.0,11,1.0,15.0,1.0,13.0,5,3.0,9.0,1.0,9.0,16,6.0,0.0,711.0,49.0,169.0,378.0,174.0,15.0,20.0,25.0,11.0,8.0,3,0,17,19,1,49.0,14.0,8.0
2020-08-23,11:00,Série A,Matchweek 5,Sun,Home,D,1,1,Botafogo (RJ),1.9,1.3,66,,Diego,4-4-2,5-4-1,Leandro Pedro Vuaden,Match Report,,flamengo,2020,14,4,21.3,1,0,0.5,590.0,687.0,10025.0,3088.0,0,0.9,0.9,2.0,70.0,10.0,62.0,4.0,26,5.0,25.0,1.0,9.0,6,3.0,4.0,2.0,11.0,10,13.0,0.0,774.0,44.0,159.0,386.0,238.0,26.0,36.0,19.0,13.0,8.0,3,0,15,16,0,54.0,18.0,6.0
2020-08-30,16:00,Série A,Matchweek 6,Sun,Away,W,1,0,Santos,2.9,1.2,47,,Diego Alves,4-2-3-1,4-3-3,Wilton Sampaio,Match Report,,flamengo,2020,10,6,12.9,6,6,2.0,339.0,427.0,6031.0,2569.0,1,2.6,1.4,2.0,39.0,9.0,28.0,1.0,8,2.0,19.0,2.0,13.0,6,6.0,7.0,0.0,13.0,13,17.0,0.0,529.0,70.0,190.0,222.0,124.0,17.0,24.0,14.0,16.0,8.0,7,0,26,12,1,48.0,13.0,5.0
2020-09-02,20:30,Série A,Matchweek 7,Wed,Away,W,5,3,Bahia,3.1,0.9,58,,Everton Ribeiro,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,,flamengo,2020,20,8,17.7,6,3,1.3,582.0,688.0,9797.0,3462.0,4,2.2,1.7,1.0,56.0,15.0,31.0,5.0,12,6.0,35.0,8.0,18.0,9,8.0,9.0,1.0,8.0,10,14.0,2.0,790.0,73.0,246.0,335.0,219.0,41.0,26.0,13.0,10.0,10.0,2,0,17,8,2,59.0,19.0,10.0
2020-09-05,17:00,Série A,Matchweek 8,Sat,Home,W,2,1,Fortaleza,1.7,1.0,62,,Everton Ribeiro,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,flamengo,2020,18,8,20.6,2,1,1.2,480.0,567.0,8116.0,2572.0,1,0.6,1.2,5.0,78.0,11.0,58.0,0.0,32,11.0,30.0,4.0,16.0,9,4.0,7.0,5.0,1.0,7,4.0,0.0,642.0,26.0,80.0,345.0,226.0,36.0,28.0,27.0,14.0,13.0,1,0,12,19,3,47.0,17.0,14.0
2020-09-09,21:30,Série A,Matchweek 9,Wed,Away,W,2,1,Fluminense,1.8,0.6,53,,Diego,4-2-3-1,4-1-4-1,Raphael Claus,Match Report,,flamengo,2020,13,6,16.6,3,2,0.7,467.0,543.0,8292.0,2865.0,0,1.3,0.7,2.0,51.0,9.0,54.0,2.0,17,6.0,24.0,3.0,19.0,7,6.0,9.0,4.0,17.0,8,24.0,0.0,661.0,69.0,199.0,311.0,160.0,20.0,19.0,15.0,21.0,13.0,1,0,16,15,2,56.0,11.0,9.0
2020-09-13,18:00,Série A,Matchweek 10,Sun,Away,L,0,2,Ceará,0.7,0.5,62,,Everton Ribeiro,4-2-3-1,4-4-2,Marielson Alves Silva,Match Report,,flamengo,2020,11,2,17.7,3,1,1.0,518.0,633.0,9580.0,3326.0,0,0.6,0.8,4.0,78.0,10.0,68.0,4.0,30,8.0,21.0,0.0,27.0,21,11.0,16.0,0.0,8.0,13,14.0,0.0,752.0,46.0,193.0,343.0,222.0,30.0,27.0,15.0,21.0,21.0,0,0,6,8,2,67.0,16.0,18.0
