Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
John,br BRA,GK,27.0,34,34,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2024
Luiz Henrique,br BRA,"FW,MF",23.0,35,33,2533.0,28.1,7.0,3.0,10.0,6.0,1.0,1.0,3.0,0.0,7.1,6.4,3.8,10.1,85.0,74.0,261.0,0.25,0.11,0.36,0.21,0.32,0.25,0.13,0.39,0.22,0.36,Matches,botafogo_rj,2024
Bastos,ao ANG,DF,32.0,32,31,2628.0,29.2,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,1.7,1.7,0.1,1.8,12.0,111.0,7.0,0.1,0.0,0.1,0.1,0.1,0.06,0.0,0.06,0.06,0.06,Matches,botafogo_rj,2024
Marlon Freitas,br BRA,MF,28.0,32,28,2425.0,26.9,0.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,1.7,1.7,4.3,6.0,44.0,264.0,43.0,0.0,0.19,0.19,0.0,0.19,0.06,0.16,0.22,0.06,0.22,Matches,botafogo_rj,2024
Gregore,br BRA,MF,29.0,33,25,2220.0,24.7,3.0,2.0,5.0,3.0,0.0,0.0,9.0,0.0,1.2,1.2,1.7,2.8,29.0,199.0,38.0,0.12,0.08,0.2,0.12,0.2,0.05,0.07,0.12,0.05,0.12,Matches,botafogo_rj,2024
Alexander Barboza,ar ARG,DF,28.0,26,23,2033.0,22.6,0.0,1.0,1.0,0.0,0.0,0.0,11.0,2.0,1.4,1.4,1.0,2.3,14.0,90.0,7.0,0.0,0.04,0.04,0.0,0.04,0.06,0.04,0.1,0.06,0.1,Matches,botafogo_rj,2024
Jefferson Savarino,ve VEN,"MF,FW",27.0,28,22,2009.0,22.3,8.0,7.0,15.0,8.0,0.0,0.0,3.0,0.0,5.2,4.9,6.5,11.4,46.0,124.0,175.0,0.36,0.31,0.67,0.36,0.67,0.23,0.29,0.52,0.22,0.51,Matches,botafogo_rj,2024
Tchê Tchê,br BRA,"MF,FW",31.0,28,16,1570.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.7,0.7,2.8,3.5,30.0,94.0,44.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.2,0.04,0.2,Matches,botafogo_rj,2024
Júnior Santos,br BRA,FW,29.0,24,16,1481.0,16.5,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,6.3,6.3,1.5,7.8,44.0,30.0,127.0,0.24,0.06,0.3,0.24,0.3,0.38,0.09,0.47,0.38,0.47,Matches,botafogo_rj,2024
Cuiabano,br BRA,DF,20.0,23,16,1476.0,16.4,4.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,1.8,1.8,1.4,3.2,37.0,40.0,128.0,0.24,0.06,0.3,0.24,0.3,0.11,0.08,0.19,0.11,0.19,Matches,botafogo_rj,2024
Igor Jesus,br BRA,FW,22.0,22,16,1454.0,16.2,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,6.8,6.8,2.6,9.4,20.0,35.0,134.0,0.31,0.19,0.5,0.31,0.5,0.42,0.16,0.58,0.42,0.58,Matches,botafogo_rj,2024
Thiago Almada,ar ARG,"FW,MF",22.0,17,16,1252.0,13.9,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,3.4,2.6,2.6,5.2,65.0,112.0,108.0,0.07,0.14,0.22,0.07,0.22,0.24,0.19,0.43,0.19,0.37,Matches,botafogo_rj,2024
Lucas Halter,br BRA,DF,23.0,17,15,1353.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.1,0.5,8.0,42.0,1.0,0.07,0.0,0.07,0.07,0.07,0.02,0.01,0.03,0.02,0.03,Matches,botafogo_rj,2024
Danilo Barbosa,br BRA,MF,27.0,25,14,1153.0,12.8,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,1.3,1.3,0.4,1.7,9.0,53.0,13.0,0.23,0.08,0.31,0.23,0.31,0.1,0.03,0.13,0.1,0.13,Matches,botafogo_rj,2024
Tiquinho Soares,br BRA,FW,33.0,28,13,1349.0,15.0,5.0,3.0,8.0,3.0,2.0,2.0,4.0,1.0,6.7,5.2,2.1,7.3,7.0,27.0,69.0,0.33,0.2,0.53,0.2,0.4,0.45,0.14,0.59,0.35,0.49,Matches,botafogo_rj,2024
Damián Suárez,uy URU,DF,35.0,17,13,1244.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.1,0.1,1.6,1.7,22.0,37.0,55.0,0.0,0.07,0.07,0.0,0.07,0.01,0.12,0.13,0.01,0.13,Matches,botafogo_rj,2024
Mateo Ponte,uy URU,DF,20.0,17,13,1132.0,12.6,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.5,1.5,1.0,2.5,22.0,45.0,97.0,0.24,0.0,0.24,0.24,0.24,0.12,0.08,0.19,0.12,0.19,Matches,botafogo_rj,2024
Fernando Marçal,br BRA,DF,34.0,16,11,1014.0,11.3,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,0.7,1.0,18.0,59.0,54.0,0.09,0.0,0.09,0.09,0.09,0.02,0.07,0.09,0.02,0.09,Matches,botafogo_rj,2024
Vitinho,br BRA,"DF,MF",24.0,11,11,770.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.5,1.8,11.0,31.0,58.0,0.0,0.0,0.0,0.0,0.0,0.15,0.06,0.21,0.15,0.21,Matches,botafogo_rj,2024
Carlos Eduardo,br BRA,"MF,FW",34.0,17,8,823.0,9.1,2.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,1.7,0.9,0.5,1.4,11.0,41.0,29.0,0.22,0.11,0.33,0.22,0.33,0.18,0.06,0.24,0.1,0.16,Matches,botafogo_rj,2024
Alex Telles,br BRA,"DF,MF",31.0,11,8,650.0,7.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.1,2.1,18.0,31.0,43.0,0.0,0.14,0.14,0.0,0.14,0.14,0.16,0.29,0.14,0.29,Matches,botafogo_rj,2024
Óscar Romero,py PAR,"MF,FW",31.0,19,6,678.0,7.5,1.0,4.0,5.0,0.0,1.0,1.0,5.0,0.0,1.4,0.6,1.5,2.1,12.0,52.0,54.0,0.13,0.53,0.66,0.0,0.53,0.19,0.19,0.38,0.08,0.28,Matches,botafogo_rj,2024
Adryelson,br BRA,DF,25.0,7,6,580.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,2.0,22.0,0.0,0.16,0.0,0.16,0.16,0.16,0.03,0.05,0.08,0.03,0.08,Matches,botafogo_rj,2024
Jeffinho,br BRA,"FW,MF",24.0,7,5,349.0,3.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.8,1.8,0.4,2.2,8.0,10.0,32.0,0.26,0.26,0.52,0.26,0.52,0.46,0.11,0.57,0.46,0.57,Matches,botafogo_rj,2024
Matheus Martins,br BRA,"FW,MF",20.0,14,4,456.0,5.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.6,1.6,1.0,2.6,26.0,22.0,49.0,0.39,0.0,0.39,0.39,0.39,0.31,0.19,0.51,0.31,0.51,Matches,botafogo_rj,2024
Hugo,br BRA,DF,22.0,9,4,443.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.2,9.0,22.0,15.0,0.0,0.2,0.2,0.0,0.2,0.06,0.19,0.25,0.06,0.25,Matches,botafogo_rj,2024
Gatito Fernández,py PAR,GK,35.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2024
Allan,br BRA,"MF,DF",33.0,11,2,313.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,2.0,15.0,4.0,0.0,0.29,0.29,0.0,0.29,0.01,0.05,0.05,0.01,0.05,Matches,botafogo_rj,2024
Carlos Alberto,br BRA,FW,21.0,7,2,212.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,0.1,1.7,7.0,4.0,7.0,0.42,0.0,0.42,0.42,0.42,0.67,0.05,0.72,0.67,0.72,Matches,botafogo_rj,2024
Kauê,br BRA,"MF,FW",19.0,8,2,167.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,4.0,4.0,10.0,0.54,0.0,0.54,0.54,0.54,0.1,0.01,0.11,0.1,0.11,Matches,botafogo_rj,2024
Matheus Nascimento,br BRA,FW,19.0,1,1,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2024
Diego Hernández,uy URU,"FW,MF",23.0,10,0,207.0,2.3,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.5,0.6,3.0,9.0,13.0,0.0,0.87,0.87,0.0,0.87,0.03,0.22,0.24,0.03,0.24,Matches,botafogo_rj,2024
Yarlen Augusto,br BRA,MF,17.0,4,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,botafogo_rj,2024
Patrick de Paula,br BRA,"MF,FW",24.0,4,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,botafogo_rj,2024
Pablo,br BRA,DF,32.0,1,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2024
Fabiano,br BRA,DF,17.0,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2024
Jacob Montes,ni NCA,"FW,MF",25.0,1,0,19.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,1.0,4.74,0.0,4.74,4.74,4.74,0.59,0.0,0.59,0.59,0.59,Matches,botafogo_rj,2024
Rafael,br BRA,FW,33.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2024
Lucas Barreto,br BRA,GK,21.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,botafogo_rj,2024
Janderson,br BRA,FW,24.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,botafogo_rj,2024
Luis Segovia,ec ECU,DF,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,botafogo_rj,2024
Raul Steffens,br BRA,GK,26.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,botafogo_rj,2024
