Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Wéverton,br BRA,GK,35.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,palmeiras,2023
Gustavo Gómez,py PAR,DF,29.0,32,32,2760.0,30.7,2.0,3.0,5.0,2.0,0.0,0.0,10.0,2.0,2.2,2.2,2.8,4.9,13.0,86.0,19.0,0.07,0.1,0.16,0.07,0.16,0.07,0.09,0.16,0.07,0.16,Matches,palmeiras,2023
Zé Rafael,br BRA,MF,29.0,31,31,2565.0,28.5,3.0,3.0,6.0,3.0,0.0,0.0,10.0,0.0,2.1,2.1,1.9,4.0,42.0,142.0,39.0,0.11,0.11,0.21,0.11,0.21,0.07,0.07,0.14,0.07,0.14,Matches,palmeiras,2023
Raphael Veiga,br BRA,MF,27.0,31,30,2453.0,27.3,9.0,7.0,16.0,8.0,1.0,2.0,5.0,0.0,7.2,5.7,7.1,12.8,80.0,186.0,122.0,0.33,0.26,0.59,0.29,0.55,0.26,0.26,0.53,0.21,0.47,Matches,palmeiras,2023
Joaquín Piquerez,uy URU,DF,24.0,29,29,2526.0,28.1,3.0,5.0,8.0,2.0,1.0,1.0,5.0,0.0,2.1,1.3,3.7,4.9,55.0,129.0,164.0,0.11,0.18,0.29,0.07,0.25,0.07,0.13,0.2,0.05,0.18,Matches,palmeiras,2023
Mayke,br BRA,"DF,FW",30.0,33,28,2498.0,27.8,1.0,6.0,7.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,4.3,5.2,56.0,144.0,169.0,0.04,0.22,0.25,0.04,0.25,0.03,0.16,0.19,0.03,0.19,Matches,palmeiras,2023
Murilo Cerqueira,br BRA,DF,25.0,25,24,2165.0,24.1,3.0,2.0,5.0,3.0,0.0,0.0,6.0,1.0,1.0,1.0,1.7,2.7,14.0,81.0,1.0,0.12,0.08,0.21,0.12,0.21,0.04,0.07,0.11,0.04,0.11,Matches,palmeiras,2023
Artur,br BRA,FW,24.0,31,22,1896.0,21.1,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,5.0,5.0,3.4,8.4,85.0,81.0,218.0,0.24,0.09,0.33,0.24,0.33,0.24,0.16,0.4,0.24,0.4,Matches,palmeiras,2023
Luan Garcia,br BRA,DF,29.0,23,21,1819.0,20.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.1,2.1,0.6,2.6,11.0,80.0,0.0,0.05,0.05,0.1,0.05,0.1,0.1,0.03,0.13,0.1,0.13,Matches,palmeiras,2023
Gabriel Menino,br BRA,MF,22.0,24,21,1593.0,17.7,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,1.7,1.7,1.3,3.0,45.0,137.0,54.0,0.11,0.17,0.28,0.11,0.28,0.09,0.08,0.17,0.09,0.17,Matches,palmeiras,2023
