Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,team_name,season,Sh,SoT,Dist
2020-08-09,11:00,Série B,Matchweek 1,Sun,Away,D,0,0,Oeste,41,,Alan Ruschel,4-3-3,4-3-3,Dyorgines José Padovani Andrade,Match Report,,chapecoense,2020,9,1,
2020-08-16,11:00,Série B,Matchweek 3,Sun,Home,W,1,0,Sampaio Corrêa,47,,Alan Ruschel,4-2-3-1,4-4-1-1,Andrey Da Silva e Silva,Match Report,,chapecoense,2020,16,5,
2020-08-20,21:00,Série B,Matchweek 4,Thu,Away,W,1,0,Cruzeiro,31,,Alan Ruschel,4-2-3-1,4-2-3-1,Denis Ribeiro Serafim,Match Report,,chapecoense,2020,10,3,
2020-08-24,20:00,Série B,Matchweek 5,Mon,Home,W,2,0,Guarani,54,,Alan Ruschel,4-2-3-1,4-3-3,Ronei Candido Alves,Match Report,,chapecoense,2020,15,4,
2020-08-28,19:30,Série B,Matchweek 6,Fri,Away,L,1,2,Cuiabá,40,,Alan Ruschel,4-2-3-1,4-2-3-1,Fabio Augusto de Sá Junior,Match Report,,chapecoense,2020,3,2,
2020-09-01,20:30,Série B,Matchweek 7,Tue,Home,W,1,0,Juventude,51,,Alan Ruschel,4-2-3-1,4-2-3-1,Leandro Bizzio Marinho,Match Report,,chapecoense,2020,11,6,
2020-09-06,11:00,Série B,Matchweek 8,Sun,Home,W,1,0,Avaí,50,,Anderson Leite,4-4-2,4-1-4-1,Ramon Abatti Abel,Match Report,,chapecoense,2020,11,4,
2020-09-18,21:30,Série B,Matchweek 10,Fri,Away,D,1,1,Náutico,43,,Ezequiel,4-2-3-1,4-2-3-1,Adriano Barros Carneiro,Match Report,,chapecoense,2020,10,2,
2020-09-25,19:15,Série B,Matchweek 11,Fri,Home,D,0,0,América (MG),51,,Willian,4-2-3-1,4-2-3-1,Zandick Gondim Alves Junior,Match Report,,chapecoense,2020,12,4,
2020-09-29,21:30,Série B,Matchweek 12,Tue,Away,D,1,1,Paraná,50,,Anselmo Ramon,4-2-3-1,4-2-3-1,Diego Pombo Lopez,Match Report,,chapecoense,2020,9,4,
2020-10-03,16:30,Série B,Matchweek 13,Sat,Away,W,1,0,Brasil de Pelotas,48,,Alan Ruschel,4-2-3-1,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,chapecoense,2020,7,3,
