Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,team_name,season,Sh,SoT,Dist
2022-04-08,21:30,Série B,Matchweek 1,Fri,Away,L,0,2,Bahia,62.0,15214.0,Rômulo,4-3-3,4-2-3-1,Ramon Abatti Abel,Match Report,,cruzeiro,2022,11,1,
2022-04-12,21:30,Série B,Matchweek 2,Tue,Home,W,1,0,Brusque,60.0,19115.0,Rômulo,4-3-3,4-4-2,Antonio Dib Moraes de Sousa,Match Report,,cruzeiro,2022,13,5,
2022-04-23,19:00,Série B,Matchweek 3,Sat,Away,D,1,1,Tombense Futebol Clube,72.0,3433.0,Rômulo,4-3-3,4-2-3-1,Rodolpho Toski Marques,Match Report,,cruzeiro,2022,18,5,
2022-04-26,21:30,Série B,Matchweek 4,Tue,Home,W,1,0,Londrina,63.0,14074.0,Eduardo Brock,3-4-3,4-3-3,Douglas Schwengber da Silva,Match Report,,cruzeiro,2022,15,5,
2022-04-30,19:00,Série B,Matchweek 5,Sat,Away,W,2,0,Chapecoense,60.0,3270.0,Eduardo Brock,3-4-3,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,cruzeiro,2022,26,5,
2022-05-08,16:00,Série B,Matchweek 6,Sun,Home,W,1,0,Grêmio,56.0,21831.0,Eduardo Brock,3-4-3,4-3-3,Flavio Rodrigues De Souza,Match Report,,cruzeiro,2022,11,1,
2022-05-15,16:00,Série B,Matchweek 7,Sun,Away,W,1,0,Náutico,54.0,6542.0,Eduardo Brock,3-4-3,4-2-3-1,Leandro Pedro Vuaden,Match Report,,cruzeiro,2022,13,2,
2022-05-22,11:00,Série B,Matchweek 8,Sun,Home,W,2,0,Sampaio Corrêa,71.0,58397.0,Eduardo Brock,3-4-3,4-2-2-2,Jefferson Ferreira de Moraes,Match Report,,cruzeiro,2022,22,8,
2022-05-27,21:30,Série B,Matchweek 9,Fri,Away,W,1,0,Criciúma,69.0,15230.0,Eduardo Brock,3-4-3,4-3-3,Paulo Roberto Alves Júnior,Match Report,,cruzeiro,2022,22,4,
2022-06-03,21:30,Série B,Matchweek 10,Fri,Away,W,2,1,Operário,53.0,3910.0,Eduardo Brock,3-4-3,3-4-3,Ramon Abatti Abel,Match Report,,cruzeiro,2022,9,7,
2022-06-08,19:00,Série B,Matchweek 11,Wed,Home,W,2,0,CRB,56.0,42004.0,Eduardo Brock,3-4-3,3-4-3,Caio Max Augusto Vieira,Match Report,,cruzeiro,2022,24,6,
2022-06-12,16:00,Série B,Matchweek 12,Sun,Away,L,0,1,Vasco da Gama,62.0,63608.0,Rafael Cabral,4-2-3-1,4-4-2,Anderson Daronco,Match Report,,cruzeiro,2022,14,2,
2022-06-16,16:00,Série B,Matchweek 13,Thu,Home,W,2,0,Ponte Preta,58.0,58076.0,Eduardo Brock,3-4-3,5-3-2,Paulo Roberto Alves Júnior,Match Report,,cruzeiro,2022,10,3,
2022-06-28,21:30,Série B,Matchweek 15,Tue,Home,W,2,1,Sport Recife,59.0,39032.0,Eduardo Brock,3-4-3,4-4-1-1,Leandro Pedro Vuaden,Match Report,,cruzeiro,2022,25,8,
2022-07-01,21:30,Série B,Matchweek 16,Fri,Home,W,2,0,Vila Nova,59.0,34957.0,Rafael Cabral,3-4-3,4-4-2,Edina Alves Batista,Match Report,,cruzeiro,2022,16,7,
