Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,team_name,season
Rafael Cabral,br BRA,GK,31.0,37,37,3330.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Lucas Oliveira,br BRA,DF,25.0,35,34,3065.0,34.1,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches,cruzeiro,2022
Eduardo Brock,br BRA,DF,30.0,33,31,2734.0,30.4,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,0.07,0.03,0.1,0.03,0.07,Matches,cruzeiro,2022
Zé Ivaldo,br BRA,DF,24.0,30,30,2461.0,27.3,1.0,3.0,4.0,1.0,0.0,0.0,10.0,0.0,0.04,0.11,0.15,0.04,0.15,Matches,cruzeiro,2022
Neto Moura,br BRA,MF,25.0,28,28,2290.0,25.4,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,cruzeiro,2022
Edu,br BRA,FW,28.0,33,25,2090.0,23.2,11.0,4.0,15.0,11.0,0.0,0.0,2.0,1.0,0.47,0.17,0.65,0.47,0.65,Matches,cruzeiro,2022
Matheus Bidu,br BRA,MF,22.0,28,24,2082.0,23.1,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.09,0.09,0.17,0.09,0.17,Matches,cruzeiro,2022
Willian,br BRA,MF,28.0,27,22,2043.0,22.7,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,cruzeiro,2022
Machado,br BRA,"MF,DF",26.0,25,21,1885.0,20.9,1.0,3.0,4.0,1.0,0.0,0.0,5.0,2.0,0.05,0.14,0.19,0.05,0.19,Matches,cruzeiro,2022
Henrique Luvannor,md MDA,FW,31.0,29,21,1665.0,18.5,6.0,2.0,8.0,6.0,0.0,0.0,5.0,0.0,0.32,0.11,0.43,0.32,0.43,Matches,cruzeiro,2022
Geovane,br BRA,"MF,DF",20.0,27,16,1479.0,16.4,2.0,2.0,4.0,2.0,0.0,0.0,9.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches,cruzeiro,2022
Bruno Nascimento,br BRA,"FW,MF",24.0,18,16,1399.0,15.5,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,0.26,0.19,0.45,0.26,0.45,Matches,cruzeiro,2022
Daniel Jr,br BRA,"MF,FW",19.0,25,15,1358.0,15.1,2.0,3.0,5.0,2.0,0.0,0.0,1.0,1.0,0.13,0.2,0.33,0.13,0.33,Matches,cruzeiro,2022
Jajá,br BRA,"FW,MF",20.0,19,13,1215.0,13.5,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,0.3,0.15,0.44,0.3,0.44,Matches,cruzeiro,2022
Leonardo Pais,uy URU,MF,27.0,17,8,802.0,8.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.11,0.11,0.22,0.11,0.22,Matches,cruzeiro,2022
Rafael Santos,br BRA,"MF,DF",23.0,13,8,713.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Fernando Canesin,br BRA,"FW,MF",29.0,11,7,631.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,cruzeiro,2022
Rafael Silva,br BRA,"FW,MF",29.0,16,6,563.0,6.3,6.0,2.0,8.0,6.0,0.0,0.0,2.0,1.0,0.96,0.32,1.28,0.96,1.28,Matches,cruzeiro,2022
Pedro Castro,br BRA,MF,28.0,13,5,478.0,5.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,cruzeiro,2022
Rômulo,it ITA,"DF,MF",34.0,11,4,571.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,cruzeiro,2022
Adriano,br BRA,MF,22.0,15,4,518.0,5.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.17,0.17,0.35,0.17,0.35,Matches,cruzeiro,2022
Lincoln,br BRA,FW,21.0,9,4,361.0,4.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.25,0.5,0.75,0.0,0.5,Matches,cruzeiro,2022
Chayene Santos,br BRA,"FW,MF",31.0,6,4,320.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.28,0.28,0.0,0.28,Matches,cruzeiro,2022
Marquinhos Cipriano,br BRA,MF,22.0,7,4,273.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.66,Matches,cruzeiro,2022
Rodolfo,br BRA,FW,29.0,18,3,480.0,5.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.19,0.19,0.37,0.19,0.37,Matches,cruzeiro,2022
Wesley Gasolina,br BRA,MF,21.0,9,3,302.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Luís Hungria,br BRA,DF,20.0,3,3,230.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Stênio Toledo,br BRA,MF,18.0,5,3,220.0,2.4,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.82,0.0,0.82,0.82,0.82,Matches,cruzeiro,2022
Waguinho,br BRA,"MF,FW",32.0,6,3,191.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Kaiki,br BRA,MF,18.0,6,2,253.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36,0.36,0.0,0.36,Matches,cruzeiro,2022
Wagner,br BRA,DF,22.0,5,2,246.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.37,0.0,0.37,0.37,0.37,Matches,cruzeiro,2022
Breno Teixeira,br BRA,FW,19.0,6,2,230.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.39,0.39,0.0,0.39,Matches,cruzeiro,2022
Diego Miticov,br BRA,MF,19.0,4,2,186.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Vitor Leque,br BRA,FW,21.0,6,2,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Pablo Siles,uy URU,MF,24.0,5,2,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Gabriel Mesquita,br BRA,GK,23.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Juan,br BRA,FW,20.0,4,1,86.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,0.0,1.05,Matches,cruzeiro,2022
João Paulo Alves,br BRA,MF,31.0,1,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Marcelinho,br BRA,MF,19.0,2,1,63.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Matheus Xavier,br BRA,MF,18.0,3,0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Jhosefer,br BRA,FW,17.0,1,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Vitor Roque,br BRA,FW,16.0,1,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Ageu,br BRA,MF,19.0,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Ruan Santos,br BRA,DF,18.0,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Pedrão,br BRA,DF,18.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,cruzeiro,2022
Denivys,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches,cruzeiro,2022
Squad Total,,,26.4,38,418,3420.0,38.0,53.0,44.0,97.0,51.0,2.0,2.0,80.0,7.0,1.39,1.16,2.55,1.34,2.5,,cruzeiro,2022
Opponent Total,,,28.0,38,418,3420.0,38.0,26.0,18.0,44.0,25.0,1.0,3.0,79.0,6.0,0.68,0.47,1.16,0.66,1.13,,cruzeiro,2022
Pedro Geromel,br BRA,DF,36.0,34,34,2960.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,gremio,2022
Bruno Fabiano Alves,br BRA,DF,30.0,34,33,2935.0,32.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,gremio,2022
Mathías Villasanti,py PAR,MF,25.0,32,32,2729.0,30.3,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,gremio,2022
Bitelo,br BRA,MF,22.0,36,32,2632.0,29.2,7.0,3.0,10.0,7.0,0.0,0.0,3.0,1.0,0.24,0.1,0.34,0.24,0.34,Matches,gremio,2022
Diego Souza,br BRA,FW,36.0,32,32,2597.0,28.9,14.0,5.0,19.0,10.0,4.0,4.0,1.0,0.0,0.49,0.17,0.66,0.35,0.52,Matches,gremio,2022
Biel,br BRA,"MF,FW",20.0,33,31,2474.0,27.5,5.0,5.0,10.0,5.0,0.0,0.0,4.0,0.0,0.18,0.18,0.36,0.18,0.36,Matches,gremio,2022
Brenno,br BRA,GK,22.0,24,24,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,gremio,2022
Nicolas,br BRA,"DF,MF",24.0,26,22,1950.0,21.7,0.0,5.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.23,0.23,0.0,0.23,Matches,gremio,2022
Jaminton Campaz,co COL,"MF,FW",21.0,29,19,1408.0,15.6,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.13,0.06,0.19,0.13,0.19,Matches,gremio,2022
Rodrigo Ferreira,br BRA,DF,26.0,23,18,1669.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,gremio,2022
Diogo Barbosa,br BRA,DF,29.0,21,16,1492.0,16.6,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches,gremio,2022
Lucas Leiva,br BRA,MF,35.0,17,14,949.0,10.5,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches,gremio,2022
Gabriel Chapecó,br BRA,GK,21.0,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,gremio,2022
Guilherme,br BRA,MF,26.0,18,12,1117.0,12.4,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.08,0.16,0.24,0.08,0.24,Matches,gremio,2022
Edílson Mendes,br BRA,"DF,MF",35.0,14,12,899.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches,gremio,2022
Lucas Silva,br BRA,MF,28.0,22,9,794.0,8.8,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,gremio,2022
Walter Kannemann,ar ARG,DF,30.0,8,8,701.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,gremio,2022
Ferreira,br BRA,"MF,FW",24.0,9,8,614.0,6.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,gremio,2022
Thiago dos Santos,br BRA,MF,32.0,19,7,859.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.21,0.1,0.21,Matches,gremio,2022
Janderson,br BRA,"MF,FW",22.0,25,7,849.0,9.4,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,gremio,2022
