Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,team_name,season,Sh,SoT,Dist
2019-04-26,19:15,Série B,Matchweek 1,Fri,Away,W,1,0,Brasil de Pelotas,60.0,992.0,Júlio César,4-4-1-1,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,,bragantino,2019,10.0,4.0,
2019-05-06,20:00,Série B,Matchweek 2,Mon,Home,D,1,1,Sport Recife,61.0,8200.0,Júlio César,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,,bragantino,2019,19.0,6.0,
2019-05-10,19:15,Série B,Matchweek 3,Fri,Home,W,3,0,Atl Goianiense,56.0,6743.0,Júlio César,4-2-3-1,4-2-3-1,Rodrigo Nunes de Sá,Match Report,,bragantino,2019,18.0,7.0,
2019-05-18,11:00,Série B,Matchweek 4,Sat,Away,L,0,1,Londrina,69.0,4482.0,Júlio César,4-2-3-1,4-2-3-1,Luis César De Oliveira Magalhães,Match Report,,bragantino,2019,21.0,7.0,
2019-05-21,21:30,Série B,Matchweek 5,Tue,Home,W,2,0,Figueirense,68.0,4887.0,Júlio César,4-2-3-1,4-3-3,Alexandre Vargas Tavares de Jesus,Match Report,,bragantino,2019,26.0,6.0,
2019-05-31,21:30,Série B,Matchweek 6,Fri,Away,W,2,0,Vitória,49.0,6154.0,Júlio César,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,bragantino,2019,14.0,7.0,
2019-06-04,19:00,Série B,Matchweek 7,Tue,Home,W,2,0,São Bento,46.0,4976.0,Júlio César,4-2-3-1,4-4-2,Leandro Bizzio Marinho,Match Report,,bragantino,2019,15.0,7.0,
2019-06-11,20:30,Série B,Matchweek 8,Tue,Home,W,2,0,América (MG),64.0,6613.0,Júlio César,4-2-3-1,4-1-4-1,Bruno Arleu de Araujo,Match Report,,bragantino,2019,16.0,4.0,
2019-07-13,19:00,Série B,Matchweek 9,Sat,Away,L,1,2,Paraná,65.0,4962.0,Júlio César,4-2-3-1,4-4-2,Felipe Fernandes de Lima,Match Report,,bragantino,2019,22.0,8.0,
2019-07-20,11:00,Série B,Matchweek 10,Sat,Away,D,0,0,Oeste,62.0,278.0,Júlio César,4-2-3-1,4-2-3-1,Grazianni Maciel Rocha,Match Report,,bragantino,2019,16.0,5.0,
2019-07-23,20:30,Série B,Matchweek 11,Tue,Home,W,2,1,Ponte Preta,51.0,9577.0,Júlio César,4-2-3-1,4-2-3-1,Adriano Milczvski,Match Report,,bragantino,2019,15.0,4.0,
2019-07-27,19:00,Série B,Matchweek 12,Sat,Away,W,1,0,Vila Nova,59.0,2228.0,Júlio César,4-2-3-1,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,bragantino,2019,10.0,5.0,
2019-07-30,21:30,Série B,Matchweek 13,Tue,Home,D,2,2,Cuiabá,72.0,4289.0,Júlio César,4-3-3,4-2-3-1,Emerson De Almeida Ferreira,Match Report,,bragantino,2019,27.0,10.0,
2019-08-02,21:30,Série B,Matchweek 14,Fri,Away,L,0,1,Guarani,69.0,2652.0,Júlio César,4-2-3-1,4-3-3,Edina Alves Batista,Match Report,,bragantino,2019,19.0,6.0,
2019-08-09,21:30,Série B,Matchweek 15,Fri,Home,D,0,0,Botafogo (SP),73.0,4849.0,Júlio César,4-2-3-1,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,,bragantino,2019,19.0,4.0,
2019-08-12,20:00,Série B,Matchweek 16,Mon,Home,W,4,0,Operário,58.0,4356.0,Júlio César,4-2-3-1,4-2-3-1,Alisson Sidnei Furtado,Match Report,,bragantino,2019,21.0,11.0,
2019-08-19,20:00,Série B,Matchweek 17,Mon,Away,W,2,0,Criciúma,54.0,11842.0,Júlio César,4-2-3-1,4-4-1-1,Jose Mendonca da Silva Junior,Match Report,,bragantino,2019,23.0,4.0,
2019-08-22,21:30,Série B,Matchweek 18,Thu,Home,D,1,1,Coritiba,42.0,6714.0,Júlio César,4-2-3-1,4-1-4-1,Jean Pierre Goncalves Lima,Match Report,,bragantino,2019,11.0,2.0,
2019-08-27,16:30,Série B,Matchweek 19,Tue,Away,W,3,0,CRB,53.0,5560.0,Júlio César,4-2-3-1,4-2-3-1,Roger Goulart,Match Report,,bragantino,2019,22.0,6.0,
