Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,team_name,season,Sh,SoT,Dist
2023-04-16,18:00,Série B,Matchweek 1,Sun,Home,W,3,0,Ponte Preta,43,20751.0,Zeca,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,,vitoria,2023,18,7,
2023-04-23,17:00,Série B,Matchweek 2,Sun,Away,W,3,0,ABC,63,6570.0,Zeca,4-2-3-1,4-4-2,Matheus Delgado Candançan,Match Report,,vitoria,2023,12,4,
2023-04-28,19:00,Série B,Matchweek 3,Fri,Home,W,2,0,Londrina,53,24222.0,Zeca,4-2-3-1,4-2-3-1,Paulo Henrique Schleinch Vollkopf,Match Report,,vitoria,2023,19,7,
2023-05-05,21:30,Série B,Matchweek 5,Fri,Away,W,3,0,Botafogo (SP),45,3426.0,Zeca,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,,vitoria,2023,19,5,
2023-05-10,19:00,Série B,Matchweek 4,Wed,Away,W,2,0,Ceará,34,,Zeca,4-2-3-1,4-2-3-1,Bruno Mota Correia,Match Report,,vitoria,2023,10,5,
2023-05-14,18:00,Série B,Matchweek 6,Sun,Home,L,2,3,Atl Goianiense,54,27415.0,Zeca,4-2-3-1,4-2-3-1,João Vitor Gobi,Match Report,,vitoria,2023,13,2,
2023-05-19,19:00,Série B,Matchweek 7,Fri,Away,L,0,2,Mirassol,43,1971.0,Zeca,4-2-3-1,4-3-3,André Luiz Skettino Policarpo Bento,Match Report,,vitoria,2023,12,3,
2023-05-24,19:00,Série B,Matchweek 8,Wed,Home,W,1,0,CRB,58,13754.0,Zeca,4-2-3-1,4-2-3-1,Alisson Sidnei Furtado,Match Report,,vitoria,2023,20,3,
2023-05-27,17:30,Série B,Matchweek 9,Sat,Away,D,1,1,Avaí,44,4363.0,Rodrigo Andrade,3-4-3,4-3-3,Marcelo de Lima Henrique,Match Report,,vitoria,2023,9,4,
2023-06-02,21:30,Série B,Matchweek 10,Fri,Home,W,3,0,Ituano,45,21587.0,Zeca,4-2-3-1,4-2-3-1,André Luiz Skettino Policarpo Bento,Match Report,,vitoria,2023,17,5,
2023-06-06,19:00,Série B,Matchweek 11,Tue,Away,W,2,1,Tombense Futebol Clube,41,698.0,Osvaldo,3-4-3,4-2-3-1,Lucas Paulo Torezin,Match Report,,vitoria,2023,8,4,
2023-06-11,18:00,Série B,Matchweek 12,Sun,Home,L,0,1,Criciúma,61,27541.0,Zeca,4-2-3-1,4-3-3,Flavio Rodrigues de Souza,Match Report,,vitoria,2023,24,2,
2023-06-25,18:00,Série B,Matchweek 13,Sun,Away,L,0,2,Guarani,64,4137.0,Zeca,4-2-3-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,,vitoria,2023,8,2,
2023-06-28,21:30,Série B,Matchweek 14,Wed,Home,W,2,1,Sampaio Corrêa,60,10848.0,Zeca,4-2-3-1,4-2-3-1,Alisson Sidnei Furtado,Match Report,,vitoria,2023,20,8,
2023-07-02,15:30,Série B,Matchweek 15,Sun,Away,L,0,1,Juventude,50,5195.0,Zeca,5-4-1,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,,vitoria,2023,9,3,
2023-07-10,20:00,Série B,Matchweek 16,Mon,Away,L,0,1,Vila Nova,56,10000.0,Osvaldo,4-2-3-1,4-4-2,Matheus Delgado Candançan,Match Report,,vitoria,2023,11,3,
2023-07-16,18:00,Série B,Matchweek 17,Sun,Home,W,2,1,Novorizontino,44,19407.0,Osvaldo,3-4-3,3-4-3,André Luiz Skettino Policarpo Bento,Match Report,,vitoria,2023,13,5,
2023-07-19,21:30,Série B,Matchweek 18,Wed,Away,W,2,1,Sport Recife,42,16847.0,Osvaldo,3-4-3,4-2-3-1,Luiz Flávio de Oliveira,Match Report,,vitoria,2023,9,3,
2023-07-24,19:00,Série B,Matchweek 19,Mon,Home,W,1,0,Chapecoense,58,24189.0,Osvaldo,3-4-3,5-4-1,Marcelo de Lima Henrique,Match Report,,vitoria,2023,21,4,
2023-07-30,18:00,Série B,Matchweek 20,Sun,Away,D,2,2,Ponte Preta,73,4287.0,Wagner,3-4-3,4-3-3,Maguielson Lima Barbosa,Match Report,,vitoria,2023,22,3,
2023-08-02,21:30,Série B,Matchweek 21,Wed,Home,W,2,0,ABC,60,12278.0,Zeca,3-4-3,4-4-2,Bruno Mota Correia,Match Report,,vitoria,2023,14,3,
2023-08-07,20:00,Série B,Matchweek 22,Mon,Away,L,0,2,Londrina,64,1349.0,Zeca,3-4-3,4-2-3-1,Arthur Gomes Rabelo,Match Report,,vitoria,2023,8,1,
2023-08-13,18:00,Série B,Matchweek 23,Sun,Home,W,1,0,Ceará,34,23840.0,Wagner,4-4-2,4-2-3-1,Bruno Arleu,Match Report,,vitoria,2023,8,2,
2023-08-18,19:00,Série B,Matchweek 24,Fri,Home,W,2,0,Botafogo (SP),54,21621.0,Zeca,3-4-3,4-4-2,Wagner do Nascimento Magalhães,Match Report,,vitoria,2023,14,5,
2023-08-27,18:00,Série B,Matchweek 25,Sun,Away,D,0,0,Atl Goianiense,36,10256.0,Zeca,3-4-3,4-2-3-1,André Luiz Skettino Policarpo Bento,Match Report,,vitoria,2023,8,3,
2023-09-01,19:15,Série B,Matchweek 26,Fri,Home,D,0,0,Mirassol,49,27861.0,Zeca,4-2-3-1,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,,vitoria,2023,11,1,
