Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,team_name,season
João Ricardo Riedi,br BRA,GK,31.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,chapecoense,2020
Willian,br BRA,MF,26.0,36,36,3179.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,chapecoense,2020
Anselmo Ramon,br BRA,FW,31.0,34,32,2705.0,30.1,10.0,6.0,16.0,8.0,2.0,2.0,8.0,1.0,0.33,0.2,0.53,0.27,0.47,Matches,chapecoense,2020
Aylon,br BRA,MF,27.0,35,31,2280.0,25.3,3.0,3.0,6.0,3.0,0.0,0.0,5.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches,chapecoense,2020
Paulinho Moccelin,br BRA,MF,25.0,29,29,2243.0,24.9,5.0,6.0,11.0,5.0,0.0,0.0,14.0,0.0,0.2,0.24,0.44,0.2,0.44,Matches,chapecoense,2020
Luiz Otávio,br BRA,DF,27.0,28,28,2520.0,28.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,chapecoense,2020
Alan Ruschel,br BRA,"DF,MF",30.0,27,27,2322.0,25.8,0.0,2.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,chapecoense,2020
Joílson,br BRA,DF,28.0,25,25,2195.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,chapecoense,2020
Matheus Ribeiro,br BRA,"DF,MF",26.0,26,24,2096.0,23.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,chapecoense,2020
Anderson Leite,br BRA,MF,26.0,26,24,1910.0,21.2,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches,chapecoense,2020
Denner,br BRA,"MF,FW",20.0,24,19,1467.0,16.3,1.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.06,0.12,0.18,0.06,0.18,Matches,chapecoense,2020
Ronei,br BRA,"MF,DF",21.0,23,18,1404.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,chapecoense,2020
