Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,team_name,season
Rafael Navarro,br BRA,FW,20.0,37,37,3004.0,33.4,15.0,9.0,24.0,14.0,1.0,1.0,5.0,0.0,0.45,0.27,0.72,0.42,0.69,Matches,botafogo_rj,2021
Kanu,br BRA,DF,23.0,34,34,3039.0,33.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Marco Antônio,br BRA,MF,23.0,37,31,2240.0,24.9,9.0,5.0,14.0,9.0,0.0,1.0,2.0,0.0,0.36,0.2,0.56,0.36,0.56,Matches,botafogo_rj,2021
Chayene Santos,br BRA,MF,30.0,31,30,2336.0,26.0,8.0,8.0,16.0,6.0,2.0,2.0,3.0,0.0,0.31,0.31,0.62,0.23,0.54,Matches,botafogo_rj,2021
Daniel Borges,br BRA,DF,27.0,37,29,2661.0,29.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches,botafogo_rj,2021
Diego,br BRA,GK,22.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Pedro Castro,br BRA,MF,27.0,30,27,2172.0,24.1,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.08,0.04,0.12,0.08,0.12,Matches,botafogo_rj,2021
Barreto,br BRA,MF,25.0,30,25,2072.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.04,0.04,0.0,0.04,Matches,botafogo_rj,2021
Diego Gonçalves,br BRA,MF,26.0,32,24,2316.0,25.7,8.0,3.0,11.0,7.0,1.0,1.0,3.0,0.0,0.31,0.12,0.43,0.27,0.39,Matches,botafogo_rj,2021
Gilvan,br BRA,DF,31.0,26,24,2138.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Luis Oyama,br BRA,MF,24.0,31,21,2122.0,23.6,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,0.13,0.08,0.21,0.13,0.21,Matches,botafogo_rj,2021
Warley,br BRA,"MF,DF",21.0,33,20,1894.0,21.0,3.0,6.0,9.0,3.0,0.0,0.0,5.0,1.0,0.14,0.29,0.43,0.14,0.43,Matches,botafogo_rj,2021
Joel Carli,ar ARG,DF,34.0,16,15,1359.0,15.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,botafogo_rj,2021
Guilherme Santos,br BRA,"DF,MF",32.0,13,11,923.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Carlinhos,br BRA,DF,34.0,16,10,1030.0,11.4,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.09,0.17,0.26,0.09,0.26,Matches,botafogo_rj,2021
Douglas Borges,br BRA,GK,30.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Hugo,br BRA,"DF,MF",19.0,10,8,665.0,7.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,botafogo_rj,2021
Ronald,br BRA,"MF,FW",23.0,15,8,658.0,7.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.27,0.27,0.0,0.27,Matches,botafogo_rj,2021
Paulo Victor,br BRA,DF,19.0,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Jonathan,br BRA,DF,22.0,6,4,298.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Lucas Mezenga,br BRA,DF,19.0,4,3,283.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Del Piage,br BRA,MF,20.0,6,3,214.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches,botafogo_rj,2021
Jonathan,br BRA,DF,28.0,3,3,207.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Rafael Carioca,br BRA,DF,28.0,5,2,227.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Felipe Ferreira,br BRA,MF,26.0,7,2,208.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,Matches,botafogo_rj,2021
Rafael Moura,br BRA,FW,37.0,31,1,449.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,botafogo_rj,2021
Luiz Henrique,br BRA,MF,21.0,11,1,206.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Ricardo Dias Acosta,br BRA,MF,35.0,11,1,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Luiz Otavio,br BRA,MF,23.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Matheus Frizzo,br BRA,MF,22.0,19,0,266.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34,0.34,0.0,0.34,Matches,botafogo_rj,2021
Ênio,br BRA,MF,19.0,11,0,141.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Rafael,br BRA,"DF,MF",30.0,4,0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Matheus Nascimento,br BRA,MF,16.0,3,0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Rickson,br BRA,MF,22.0,2,0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Kayque,br BRA,MF,20.0,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Marcinho,br BRA,"FW,MF",25.0,2,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Ewerton Vinicios,br BRA,DF,19.0,2,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Cesinha,br BRA,MF,20.0,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Vitinho,br BRA,FW,19.0,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,botafogo_rj,2021
Andrew,br BRA,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches,botafogo_rj,2021
