Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,team_name,season
Diego Pituca,br BRA,MF,31.0,36,35,3066.0,34.1,4.0,3.0,7.0,4.0,0.0,0.0,6.0,1.0,0.12,0.09,0.21,0.12,0.21,Matches,santos,2024
Gil,br BRA,DF,36.0,34,34,3052.0,33.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,santos,2024
João Schmidt,br BRA,MF,30.0,33,33,2859.0,31.8,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,santos,2024
Gonzalo Escobar,ar ARG,DF,26.0,33,33,2847.0,31.6,1.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,0.03,0.06,0.09,0.03,0.09,Matches,santos,2024
Gabriel Brazão,br BRA,GK,23.0,31,30,2772.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,santos,2024
Guilherme,br BRA,MF,28.0,31,30,2551.0,28.3,9.0,8.0,17.0,8.0,1.0,2.0,2.0,0.0,0.32,0.28,0.6,0.28,0.56,Matches,santos,2024
Giuliano de Paula,br BRA,"MF,FW",33.0,29,29,2227.0,24.7,9.0,2.0,11.0,8.0,1.0,1.0,2.0,0.0,0.36,0.08,0.44,0.32,0.4,Matches,santos,2024
Rómulo Otero,ve VEN,MF,31.0,37,26,2145.0,23.8,5.0,2.0,7.0,5.0,0.0,0.0,4.0,0.0,0.21,0.08,0.29,0.21,0.29,Matches,santos,2024
João Pedro Chermont,br BRA,DF,18.0,31,22,1900.0,21.1,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,0.09,0.19,0.28,0.09,0.28,Matches,santos,2024
Jair Paula,br BRA,DF,18.0,20,19,1700.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,santos,2024
Wendel,br BRA,FW,23.0,16,16,1264.0,14.0,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,0.28,0.28,0.57,0.28,0.57,Matches,santos,2024
Julio Furch,ar ARG,FW,34.0,28,12,1145.0,12.7,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.24,0.0,0.24,0.16,0.16,Matches,santos,2024
Joaquim,br BRA,DF,25.0,12,12,1066.0,11.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,santos,2024
Hayner,br BRA,"DF,MF",28.0,24,10,874.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,santos,2024
Willian,br BRA,"FW,MF",37.0,29,9,961.0,10.7,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,0.47,0.09,0.56,0.47,0.56,Matches,santos,2024
Serginho,br BRA,MF,33.0,19,9,892.0,9.9,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.2,0.3,0.5,0.2,0.5,Matches,santos,2024
João Othavio Basso,br BRA,DF,27.0,8,7,618.0,6.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.29,0.15,0.44,0.29,0.44,Matches,santos,2024
João Paulo,br BRA,GK,28.0,7,7,558.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,santos,2024
Sandry,br BRA,MF,21.0,12,6,540.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,santos,2024
Weslley Patati,br BRA,MF,20.0,13,6,495.0,5.5,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.36,0.18,0.55,0.36,0.55,Matches,santos,2024
