Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,team_name,season
Júlio César,br BRA,GK,34.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Uillian Correia,br BRA,MF,29.0,34,34,2901.0,32.2,1.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,bragantino,2019
Claudinho,br BRA,MF,22.0,34,32,2844.0,31.6,9.0,11.0,20.0,8.0,1.0,1.0,3.0,0.0,0.28,0.35,0.63,0.25,0.6,Matches,bragantino,2019
Ligger,br BRA,DF,30.0,30,30,2641.0,29.3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Aderlan Silva,br BRA,DF,28.0,30,30,2640.0,29.3,1.0,7.0,8.0,1.0,0.0,0.0,11.0,0.0,0.03,0.24,0.27,0.03,0.27,Matches,bragantino,2019
Leo Ortiz,br BRA,DF,23.0,30,29,2519.0,28.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.11,0.0,0.11,0.11,0.11,Matches,bragantino,2019
Ytalo,br BRA,"MF,FW",31.0,30,28,2453.0,27.3,13.0,2.0,15.0,12.0,1.0,2.0,2.0,0.0,0.48,0.07,0.55,0.44,0.51,Matches,bragantino,2019
Barreto,br BRA,MF,23.0,27,26,2201.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Wesley Pionteck Souza,br BRA,MF,22.0,32,24,2091.0,23.2,5.0,2.0,7.0,5.0,0.0,0.0,1.0,1.0,0.22,0.09,0.3,0.22,0.3,Matches,bragantino,2019
Edimar Fraga,br BRA,DF,32.0,23,22,1993.0,22.1,3.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,0.14,0.05,0.18,0.09,0.14,Matches,bragantino,2019
Rafael Carioca,br BRA,DF,26.0,17,16,1418.0,15.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.25,0.25,0.0,0.25,Matches,bragantino,2019
Morato,br BRA,MF,26.0,23,16,1322.0,14.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,0.41,0.2,0.61,0.41,0.61,Matches,bragantino,2019
Matheus Peixoto,br BRA,FW,23.0,24,15,1263.0,14.0,6.0,0.0,6.0,5.0,1.0,1.0,0.0,0.0,0.43,0.0,0.43,0.36,0.36,Matches,bragantino,2019
Bruno Tubarão,br BRA,MF,23.0,28,12,1312.0,14.6,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.21,0.07,0.27,0.21,0.27,Matches,bragantino,2019
Rayan,br BRA,DF,29.0,14,12,1144.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Ricardo,br BRA,MF,24.0,17,11,1050.0,11.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.26,0.09,0.34,0.26,0.34,Matches,bragantino,2019
Thiago Ribeiro,br BRA,"FW,MF",32.0,20,9,839.0,9.3,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,0.54,0.21,0.75,0.54,0.75,Matches,bragantino,2019
Roberson,br BRA,"FW,MF",29.0,15,6,548.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches,bragantino,2019
Pedrinho,br BRA,"MF,DF",21.0,11,6,532.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,bragantino,2019
Pio,br BRA,"DF,MF",31.0,12,5,490.0,5.4,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.18,0.0,0.18,0.0,0.0,Matches,bragantino,2019
Anderson Marques,br BRA,DF,35.0,5,4,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Robinho,br BRA,"MF,FW",20.0,12,3,377.0,4.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.24,0.24,0.48,0.24,0.48,Matches,bragantino,2019
Lucas Ramon,br BRA,DF,24.0,3,3,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,Matches,bragantino,2019
Vitinho,br BRA,FW,20.0,9,2,242.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37,0.37,0.0,0.37,Matches,bragantino,2019
Gabriel Baralhas,br BRA,MF,20.0,3,2,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Osman Júnior,br BRA,MF,26.0,2,2,180.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,Matches,bragantino,2019
Rayne,br BRA,DF,22.0,3,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Kewin,br BRA,GK,23.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Alex Alves de Lima,br BRA,GK,32.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Vitinho,br BRA,DF,28.0,3,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Rodrigo Luiz Angelotti,br BRA,"FW,MF",20.0,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Luis Phelipe,br BRA,MF,17.0,2,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bragantino,2019
Dheimison,br BRA,GK,29.0,0,0,,,,,,,,,,,,,,,,Matches,bragantino,2019
Romário,br BRA,DF,26.0,0,0,,,,,,,,,,,,,,,,Matches,bragantino,2019
Squad Total,,,27.4,38,418,3420.0,38.0,62.0,39.0,101.0,57.0,5.0,6.0,82.0,7.0,1.63,1.03,2.66,1.5,2.53,,bragantino,2019
Opponent Total,,,26.9,38,418,3420.0,38.0,27.0,15.0,42.0,26.0,1.0,3.0,93.0,7.0,0.71,0.39,1.11,0.68,1.08,,bragantino,2019
Rafael Thyere,br BRA,DF,25.0,36,36,3197.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019
Guilherme,br BRA,MF,23.0,35,34,2961.0,32.9,17.0,6.0,23.0,14.0,3.0,3.0,6.0,0.0,0.52,0.18,0.7,0.43,0.61,Matches,sport_recife,2019
Charles Rigon Matos,br BRA,MF,22.0,34,34,2951.0,32.8,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,sport_recife,2019
Norberto,br BRA,DF,28.0,31,31,2687.0,29.9,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.03,0.03,0.07,0.03,0.07,Matches,sport_recife,2019
Hernane,br BRA,FW,32.0,32,31,2433.0,27.0,14.0,5.0,19.0,11.0,3.0,4.0,2.0,0.0,0.52,0.18,0.7,0.41,0.59,Matches,sport_recife,2019
Mailson,br BRA,GK,22.0,29,29,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019
Adryelson,br BRA,DF,20.0,30,29,2532.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019
Sander,br BRA,DF,28.0,25,25,2184.0,24.3,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.08,0.12,0.21,0.08,0.21,Matches,sport_recife,2019
Leandrinho,br BRA,MF,22.0,28,17,1628.0,18.1,2.0,3.0,5.0,2.0,0.0,0.0,7.0,0.0,0.11,0.17,0.28,0.11,0.28,Matches,sport_recife,2019
Ezequiel,br BRA,MF,20.0,16,15,1281.0,14.2,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28,0.28,0.0,0.28,Matches,sport_recife,2019
Hyuri,br BRA,MF,27.0,21,14,1246.0,13.8,3.0,2.0,5.0,3.0,0.0,1.0,3.0,1.0,0.22,0.14,0.36,0.22,0.36,Matches,sport_recife,2019
Willian Farias,br BRA,MF,29.0,14,13,1200.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019
Raul Prata,br BRA,DF,31.0,16,11,1137.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019
João Igor,br BRA,MF,22.0,15,10,817.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019
Sammir,hr CRO,MF,31.0,12,10,685.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,sport_recife,2019
Luan Polli,br BRA,GK,25.0,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,sport_recife,2019
