Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,team_name,season,Sh,SoT,Dist
2021-05-28,21:30,Série B,Matchweek 1,Fri,Away,D,1,1,Vila Nova,56,,Kanu,4-3-3,4-3-3,Paulo Cesar Zanovelli da Silva,Match Report,,botafogo_rj,2021,15,4,
2021-06-05,21:00,Série B,Matchweek 2,Sat,Home,W,2,0,Coritiba,38,,Kanu,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,botafogo_rj,2021,12,6,
2021-06-13,16:00,Série B,Matchweek 3,Sun,Home,W,3,0,Remo,41,,Kanu,4-2-3-1,4-2-3-1,Alisson Sidnei Furtado,Match Report,,botafogo_rj,2021,17,6,
2021-06-17,19:00,Série B,Matchweek 4,Thu,Away,D,2,2,Londrina,41,,Kanu,4-2-3-1,4-3-3,Salim Fende Chavez,Match Report,,botafogo_rj,2021,12,3,
2021-06-20,16:00,Série B,Matchweek 5,Sun,Away,L,1,3,Náutico,46,,Kanu,4-2-3-1,4-2-3-1,Wanderson Alves de Souza,Match Report,,botafogo_rj,2021,13,8,
2021-06-26,16:30,Série B,Matchweek 7,Sat,Away,L,0,2,Sampaio Corrêa,64,,Kanu,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,,botafogo_rj,2021,16,5,
2021-06-30,21:30,Série B,Matchweek 8,Wed,Home,W,1,0,Vitória,54,,Kanu,4-2-3-1,3-5-2,Lucas Paulo Torezin,Match Report,,botafogo_rj,2021,12,3,
2021-07-03,21:00,Série B,Matchweek 9,Sat,Away,D,1,1,Avaí,54,,Kanu,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,botafogo_rj,2021,14,3,
2021-07-06,21:30,Série B,Matchweek 10,Tue,Away,L,1,2,CRB,47,,Kanu,4-2-3-1,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,,botafogo_rj,2021,13,5,
2021-07-10,16:30,Série B,Matchweek 11,Sat,Home,D,3,3,Cruzeiro,52,,Kanu,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,botafogo_rj,2021,14,5,
2021-07-17,19:00,Série B,Matchweek 12,Sat,Away,L,1,2,Brusque,42,,Kanu,4-2-3-1,4-2-2-2,Ivan da Silva Guimarães Jr.,Match Report,,botafogo_rj,2021,17,4,
2021-07-20,19:00,Série B,Matchweek 13,Tue,Home,L,0,2,Goiás,57,,Kanu,4-2-3-1,4-2-3-1,Igor Junior Benevenuto,Match Report,,botafogo_rj,2021,19,6,
2021-07-24,16:30,Série B,Matchweek 14,Sat,Away,W,1,0,Confiança,44,,Gilvan,4-2-3-1,4-3-3,Zandick Gondim Alves Junior,Match Report,,botafogo_rj,2021,11,2,
