Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Manuel Neuer,de GER,GK,33.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bayern_munich,2019-2020
Joshua Kimmich,de GER,"MF,DF",24.0,33,32,2818.0,31.3,4.0,7.0,11.0,4.0,0.0,0.0,7.0,0.0,1.2,1.2,8.3,9.5,57.0,310.0,106.0,0.13,0.22,0.35,0.13,0.35,0.04,0.27,0.3,0.04,0.3,Matches,bayern_munich,2019-2020
Benjamin Pavard,fr FRA,DF,23.0,32,31,2790.0,31.0,4.0,4.0,8.0,4.0,0.0,0.0,5.0,0.0,2.0,2.0,3.3,5.3,70.0,224.0,145.0,0.13,0.13,0.26,0.13,0.26,0.06,0.11,0.17,0.06,0.17,Matches,bayern_munich,2019-2020
Robert Lewandowski,pl POL,FW,30.0,31,31,2759.0,30.7,34.0,4.0,38.0,29.0,5.0,5.0,5.0,0.0,30.7,26.8,6.6,33.5,70.0,91.0,245.0,1.11,0.13,1.24,0.95,1.08,1.0,0.22,1.22,0.87,1.09,Matches,bayern_munich,2019-2020
David Alaba,at AUT,DF,27.0,28,27,2498.0,27.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.4,3.3,69.0,285.0,42.0,0.04,0.04,0.07,0.04,0.07,0.03,0.08,0.12,0.03,0.12,Matches,bayern_munich,2019-2020
Thomas Müller,de GER,"MF,FW",29.0,33,26,2255.0,25.1,8.0,21.0,29.0,8.0,0.0,0.0,5.0,0.0,8.7,8.7,14.8,23.5,75.0,164.0,308.0,0.32,0.84,1.16,0.32,1.16,0.35,0.59,0.94,0.35,0.94,Matches,bayern_munich,2019-2020
Serge Gnabry,de GER,"FW,MF",24.0,31,26,2193.0,24.4,12.0,10.0,22.0,12.0,0.0,0.0,0.0,0.0,13.1,13.1,12.1,25.2,118.0,92.0,337.0,0.49,0.41,0.9,0.49,0.9,0.54,0.5,1.03,0.54,1.03,Matches,bayern_munich,2019-2020
Alphonso Davies,ca CAN,DF,18.0,29,24,2234.0,24.8,3.0,5.0,8.0,3.0,0.0,0.0,4.0,1.0,2.3,2.3,4.3,6.6,121.0,135.0,191.0,0.12,0.2,0.32,0.12,0.32,0.09,0.17,0.27,0.09,0.27,Matches,bayern_munich,2019-2020
Jérôme Boateng,de GER,DF,30.0,24,23,1796.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.3,0.3,1.7,1.9,6.0,128.0,4.0,0.0,0.1,0.1,0.0,0.1,0.01,0.08,0.1,0.01,0.1,Matches,bayern_munich,2019-2020
Thiago Alcántara,es ESP,MF,28.0,24,20,1771.0,19.7,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,2.4,2.4,0.9,3.3,27.0,230.0,43.0,0.15,0.0,0.15,0.15,0.15,0.12,0.05,0.17,0.12,0.17,Matches,bayern_munich,2019-2020
Leon Goretzka,de GER,MF,24.0,24,17,1512.0,16.8,6.0,5.0,11.0,6.0,0.0,0.0,2.0,0.0,5.5,5.5,2.9,8.5,29.0,110.0,63.0,0.36,0.3,0.65,0.36,0.65,0.33,0.18,0.5,0.33,0.5,Matches,bayern_munich,2019-2020
Kingsley Coman,fr FRA,"FW,MF",23.0,24,17,1505.0,16.7,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,4.7,4.7,4.8,9.4,113.0,75.0,329.0,0.24,0.18,0.42,0.24,0.42,0.28,0.29,0.56,0.28,0.56,Matches,bayern_munich,2019-2020
