Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Joshua Kimmich,de GER,MF,27.0,33,32,2809.0,31.2,5.0,6.0,11.0,4.0,1.0,1.0,6.0,1.0,2.2,1.4,7.0,8.4,42.0,315.0,56.0,0.16,0.19,0.35,0.13,0.32,0.07,0.22,0.3,0.05,0.27,Matches,bayern_munich,2022-2023
Benjamin Pavard,fr FRA,DF,26.0,30,27,2431.0,27.0,4.0,1.0,5.0,4.0,0.0,0.0,6.0,0.0,2.5,2.5,2.4,5.0,37.0,202.0,65.0,0.15,0.04,0.19,0.15,0.19,0.09,0.09,0.18,0.09,0.18,Matches,bayern_munich,2022-2023
Matthijs de Ligt,nl NED,DF,22.0,31,27,2403.0,26.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,1.1,1.1,0.5,1.6,17.0,143.0,14.0,0.11,0.04,0.15,0.11,0.15,0.04,0.02,0.06,0.04,0.06,Matches,bayern_munich,2022-2023
Dayot Upamecano,fr FRA,DF,23.0,29,27,2348.0,26.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.7,0.7,0.3,1.0,31.0,169.0,7.0,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,Matches,bayern_munich,2022-2023
Jamal Musiala,de GER,"MF,FW",19.0,33,26,2198.0,24.4,12.0,10.0,22.0,12.0,0.0,0.0,1.0,0.0,8.0,8.0,6.6,14.6,89.0,124.0,196.0,0.49,0.41,0.9,0.49,0.9,0.33,0.27,0.6,0.33,0.6,Matches,bayern_munich,2022-2023
Alphonso Davies,ca CAN,DF,21.0,26,24,2042.0,22.7,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.7,1.7,3.7,5.4,117.0,133.0,158.0,0.04,0.18,0.22,0.04,0.22,0.07,0.16,0.24,0.07,0.24,Matches,bayern_munich,2022-2023
Serge Gnabry,de GER,"FW,MF",27.0,34,22,1941.0,21.6,14.0,5.0,19.0,13.0,1.0,1.0,0.0,0.0,11.2,10.4,5.3,15.7,74.0,82.0,217.0,0.65,0.23,0.88,0.6,0.83,0.52,0.25,0.76,0.48,0.73,Matches,bayern_munich,2022-2023
Leon Goretzka,de GER,MF,27.0,27,22,1728.0,19.2,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,4.7,4.7,2.3,7.1,42.0,114.0,62.0,0.16,0.1,0.26,0.16,0.26,0.25,0.12,0.37,0.25,0.37,Matches,bayern_munich,2022-2023
Thomas Müller,de GER,"FW,MF",32.0,27,21,1665.0,18.5,7.0,8.0,15.0,7.0,0.0,0.0,0.0,0.0,8.9,8.9,6.6,15.5,33.0,88.0,182.0,0.38,0.43,0.81,0.38,0.81,0.48,0.36,0.84,0.48,0.84,Matches,bayern_munich,2022-2023
Leroy Sané,de GER,"MF,FW",26.0,32,20,2010.0,22.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,0.0,8.5,8.5,4.3,12.8,77.0,134.0,198.0,0.36,0.31,0.67,0.36,0.67,0.38,0.19,0.57,0.38,0.57,Matches,bayern_munich,2022-2023
Yann Sommer,ch SUI,GK,33.0,19,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bayern_munich,2022-2023
Sadio Mané,sn SEN,"FW,MF",30.0,25,18,1425.0,15.8,7.0,5.0,12.0,6.0,1.0,2.0,2.0,0.0,8.9,7.2,3.9,11.1,59.0,43.0,164.0,0.44,0.32,0.76,0.38,0.69,0.56,0.25,0.81,0.46,0.7,Matches,bayern_munich,2022-2023
Kingsley Coman,fr FRA,"FW,MF",26.0,24,16,1409.0,15.7,8.0,5.0,13.0,8.0,0.0,0.0,2.0,1.0,4.6,4.6,5.5,10.1,98.0,70.0,296.0,0.51,0.32,0.83,0.51,0.83,0.29,0.35,0.65,0.29,0.65,Matches,bayern_munich,2022-2023
Eric Maxim Choupo-Moting,cm CMR,FW,33.0,19,14,1112.0,12.4,10.0,2.0,12.0,10.0,0.0,1.0,0.0,0.0,6.1,5.3,1.9,7.3,11.0,43.0,77.0,0.81,0.16,0.97,0.81,0.97,0.49,0.16,0.65,0.43,0.59,Matches,bayern_munich,2022-2023
Manuel Neuer,de GER,GK,36.0,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,bayern_munich,2022-2023
Noussair Mazraoui,ma MAR,DF,24.0,19,11,1075.0,11.9,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,1.9,3.0,39.0,99.0,81.0,0.08,0.33,0.42,0.08,0.42,0.09,0.16,0.25,0.09,0.25,Matches,bayern_munich,2022-2023
João Cancelo,pt POR,"DF,FW",28.0,15,11,1012.0,11.2,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,2.3,3.0,51.0,61.0,90.0,0.09,0.36,0.44,0.09,0.44,0.06,0.21,0.26,0.06,0.26,Matches,bayern_munich,2022-2023
Marcel Sabitzer,at AUT,MF,28.0,15,7,628.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,0.4,1.4,7.0,52.0,19.0,0.14,0.14,0.29,0.14,0.29,0.15,0.05,0.2,0.15,0.2,Matches,bayern_munich,2022-2023
Lucas Hernández,fr FRA,DF,26.0,7,6,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,3.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,bayern_munich,2022-2023
Josip Stanišić,hr CRO,DF,22.0,14,4,579.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,12.0,66.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,bayern_munich,2022-2023
Ryan Gravenberch,nl NED,MF,20.0,24,3,576.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.5,1.4,11.0,44.0,31.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.21,0.14,0.21,Matches,bayern_munich,2022-2023
Sven Ulreich,de GER,GK,33.0,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,bayern_munich,2022-2023
Mathys Tel,fr FRA,FW,17.0,22,1,417.0,4.6,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,2.7,2.7,0.7,3.3,12.0,11.0,59.0,1.08,0.0,1.08,1.08,1.08,0.58,0.14,0.72,0.58,0.72,Matches,bayern_munich,2022-2023
Daley Blind,nl NED,"DF,MF",32.0,4,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,bayern_munich,2022-2023
