Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,team_name,season,Sh,SoT,Dist,SoTA,Saves,PSxG,Cmp,Att,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,PrgC,Carries_Att_3rd,Mis,Dis,CrdY,CrdR,Fls,Fld,Off,Recov,Aerials_Won,Aerials_Lost
2019-08-17,17:00,La Liga,Matchweek 1,Sat,Away,W,3,1,Celta Vigo,2.1,1.6,44.0,23566.0,Sergio Ramos,4-3-3,4-2-2-2,Javier Estrada,Match Report,,real_madrid,2019-2020,17.0,11.0,17.3,3.0,2.0,1.7,369.0,444.0,6191.0,2149.0,3,2.1,1.6,1.0,24.0,15.0,21.0,15.0,11.0,4.0,33.0,6.0,13.0,8.0,5.0,5.0,3.0,7.0,7.0,20.0,0.0,548.0,58.0,164.0,238.0,152.0,20.0,22.0,15.0,10.0,10.0,2,1,12.0,15.0,1.0,46.0,12.0,5.0
2019-08-24,19:00,La Liga,Matchweek 2,Sat,Home,D,1,1,Valladolid,1.7,1.2,66.0,63037.0,Sergio Ramos,4-1-4-1,4-4-2,Pablo González,Match Report,,real_madrid,2019-2020,22.0,4.0,17.0,2.0,1.0,0.8,610.0,687.0,10555.0,3460.0,1,1.6,2.0,8.0,86.0,20.0,61.0,11.0,31.0,4.0,44.0,2.0,10.0,6.0,3.0,4.0,3.0,12.0,10.0,8.0,0.0,783.0,44.0,157.0,350.0,282.0,37.0,38.0,31.0,20.0,6.0,2,0,12.0,11.0,0.0,56.0,13.0,10.0
2019-09-01,21:00,La Liga,Matchweek 3,Sun,Away,D,2,2,Villarreal,1.9,1.4,56.0,20128.0,Sergio Ramos,4-4-2,4-4-2,Jesús Gil,Match Report,,real_madrid,2019-2020,17.0,5.0,17.1,5.0,3.0,1.1,518.0,605.0,9319.0,3186.0,2,1.5,1.6,3.0,65.0,14.0,51.0,7.0,27.0,8.0,31.0,3.0,16.0,11.0,7.0,6.0,3.0,11.0,11.0,7.0,1.0,708.0,34.0,150.0,379.0,189.0,27.0,19.0,25.0,15.0,10.0,4,1,14.0,6.0,2.0,58.0,16.0,11.0
2019-09-14,13:00,La Liga,Matchweek 4,Sat,Home,W,3,2,Levante,2.9,1.2,65.0,60401.0,Sergio Ramos,4-1-4-1,5-3-2,Ricardo de Burgos,Match Report,,real_madrid,2019-2020,25.0,11.0,16.0,3.0,1.0,1.3,601.0,682.0,11301.0,3652.0,3,2.5,2.6,3.0,78.0,19.0,48.0,10.0,22.0,9.0,42.0,5.0,17.0,11.0,6.0,9.0,2.0,10.0,7.0,17.0,0.0,800.0,68.0,229.0,317.0,258.0,37.0,23.0,19.0,17.0,5.0,2,0,13.0,9.0,4.0,56.0,9.0,8.0
2019-09-22,21:00,La Liga,Matchweek 5,Sun,Away,W,1,0,Sevilla,1.2,0.5,45.0,42354.0,Sergio Ramos,4-2-3-1,4-3-3,Juan Martínez,Match Report,,real_madrid,2019-2020,7.0,4.0,15.1,0.0,0.0,0.0,398.0,499.0,7197.0,2445.0,1,1.2,1.5,1.0,50.0,6.0,34.0,12.0,11.0,6.0,14.0,2.0,21.0,14.0,8.0,11.0,2.0,10.0,11.0,31.0,0.0,610.0,70.0,204.0,267.0,142.0,17.0,16.0,11.0,13.0,10.0,2,0,15.0,16.0,1.0,48.0,18.0,16.0
2019-09-25,21:00,La Liga,Matchweek 6,Wed,Home,W,2,0,Osasuna,1.6,0.2,55.0,57520.0,Sergio Ramos,4-1-4-1,4-4-2,Antonio Matéu Lahoz,Match Report,,real_madrid,2019-2020,15.0,4.0,19.6,0.0,0.0,0.0,437.0,532.0,8183.0,2881.0,2,1.0,0.4,1.0,48.0,10.0,26.0,9.0,13.0,7.0,25.0,4.0,16.0,9.0,5.0,8.0,3.0,7.0,17.0,24.0,0.0,683.0,70.0,215.0,290.0,188.0,25.0,20.0,16.0,21.0,6.0,2,0,13.0,13.0,1.0,56.0,16.0,8.0
2019-09-28,21:00,La Liga,Matchweek 7,Sat,Away,D,0,0,Atlético Madrid,0.4,0.9,55.0,68032.0,Sergio Ramos,4-1-4-1,4-4-2,José González,Match Report,,real_madrid,2019-2020,14.0,3.0,26.1,1.0,1.0,0.2,513.0,612.0,9410.0,2997.0,0,0.4,0.4,1.0,57.0,12.0,56.0,15.0,27.0,7.0,26.0,0.0,16.0,13.0,7.0,9.0,0.0,5.0,5.0,19.0,0.0,708.0,55.0,172.0,347.0,196.0,11.0,24.0,21.0,10.0,11.0,2,0,14.0,13.0,1.0,50.0,14.0,12.0
2019-10-05,16:00,La Liga,Matchweek 8,Sat,Home,W,4,2,Granada,2.6,1.6,61.0,70315.0,Sergio Ramos,4-3-3,4-1-4-1,Santiago Jaime,Match Report,,real_madrid,2019-2020,17.0,10.0,18.3,5.0,3.0,2.3,431.0,514.0,7740.0,2584.0,4,2.5,1.2,2.0,37.0,15.0,23.0,5.0,16.0,6.0,32.0,7.0,16.0,9.0,9.0,5.0,2.0,4.0,15.0,11.0,0.0,608.0,46.0,202.0,268.0,144.0,21.0,17.0,11.0,11.0,11.0,4,0,12.0,18.0,2.0,49.0,12.0,13.0
2019-10-19,21:00,La Liga,Matchweek 9,Sat,Away,L,0,1,Mallorca,1.0,0.2,63.0,20275.0,Sergio Ramos,4-4-2,4-3-3,Alberola Rojas,Match Report,,real_madrid,2019-2020,14.0,4.0,18.2,1.0,0.0,0.4,515.0,598.0,8747.0,3286.0,0,0.9,0.9,2.0,57.0,12.0,50.0,9.0,24.0,4.0,25.0,0.0,22.0,14.0,9.0,9.0,4.0,10.0,11.0,11.0,0.0,699.0,49.0,181.0,338.0,193.0,27.0,31.0,21.0,13.0,11.0,2,1,14.0,19.0,2.0,52.0,16.0,11.0
2019-10-30,21:15,La Liga,Matchweek 11,Wed,Home,W,5,0,Leganés,4.8,0.3,61.0,53870.0,Sergio Ramos,4-3-3,4-2-3-1,César Soto,Match Report,,real_madrid,2019-2020,20.0,9.0,18.4,3.0,3.0,0.6,577.0,666.0,9943.0,3353.0,3,2.7,3.2,5.0,67.0,15.0,44.0,18.0,19.0,8.0,42.0,10.0,18.0,9.0,6.0,7.0,5.0,6.0,11.0,12.0,0.0,772.0,58.0,217.0,318.0,239.0,52.0,33.0,23.0,14.0,7.0,1,0,12.0,12.0,2.0,51.0,20.0,6.0
2019-11-02,21:00,La Liga,Matchweek 12,Sat,Home,D,0,0,Betis,2.8,0.5,63.0,70375.0,Sergio Ramos,4-3-3,5-3-2,José Sánchez,Match Report,,real_madrid,2019-2020,22.0,7.0,17.3,3.0,3.0,0.6,545.0,650.0,10324.0,3123.0,0,1.9,1.9,3.0,70.0,16.0,47.0,19.0,31.0,9.0,42.0,0.0,11.0,8.0,3.0,7.0,1.0,9.0,8.0,8.0,0.0,746.0,45.0,162.0,301.0,285.0,46.0,35.0,20.0,12.0,5.0,2,0,11.0,14.0,1.0,50.0,16.0,11.0
2019-11-09,18:30,La Liga,Matchweek 13,Sat,Away,W,4,0,Eibar,2.9,1.0,58.0,7045.0,Sergio Ramos,4-3-3,4-4-2,Adrián Cordero,Match Report,,real_madrid,2019-2020,8.0,3.0,18.3,1.0,1.0,0.2,523.0,623.0,9277.0,3324.0,1,1.0,1.4,4.0,50.0,5.0,26.0,16.0,22.0,6.0,18.0,7.0,15.0,8.0,9.0,5.0,1.0,8.0,13.0,24.0,0.0,742.0,86.0,301.0,282.0,166.0,32.0,27.0,22.0,19.0,9.0,0,0,8.0,8.0,2.0,60.0,17.0,13.0
2019-11-23,21:00,La Liga,Matchweek 14,Sat,Home,W,3,1,Real Sociedad,1.4,1.6,54.0,69305.0,Sergio Ramos,4-3-3,4-2-3-1,Jesús Gil,Match Report,,real_madrid,2019-2020,18.0,10.0,16.8,6.0,5.0,1.8,501.0,590.0,8420.0,2772.0,3,1.1,1.1,4.0,53.0,16.0,41.0,13.0,23.0,4.0,34.0,6.0,16.0,10.0,8.0,6.0,2.0,11.0,7.0,16.0,2.0,704.0,54.0,196.0,271.0,245.0,41.0,38.0,25.0,15.0,5.0,1,0,13.0,15.0,3.0,56.0,21.0,7.0
2019-11-30,13:00,La Liga,Matchweek 15,Sat,Away,W,2,1,Alavés,1.8,1.3,64.0,19357.0,Sergio Ramos,4-3-3,4-4-2,Guillermo Cuadra,Match Report,,real_madrid,2019-2020,12.0,6.0,15.8,2.0,1.0,1.1,578.0,678.0,10456.0,3413.0,1,0.9,0.9,1.0,50.0,7.0,55.0,6.0,13.0,4.0,19.0,3.0,18.0,12.0,6.0,9.0,3.0,9.0,10.0,17.0,0.0,780.0,48.0,195.0,405.0,184.0,19.0,21.0,15.0,16.0,7.0,3,0,11.0,14.0,5.0,52.0,20.0,18.0
2019-12-07,13:00,La Liga,Matchweek 16,Sat,Home,W,2,0,Espanyol,2.4,0.5,60.0,64125.0,Sergio Ramos,4-3-3,3-1-4-2,Santiago Jaime,Match Report,,real_madrid,2019-2020,18.0,8.0,17.2,2.0,2.0,0.4,462.0,570.0,8167.0,2721.0,2,2.2,1.2,1.0,54.0,14.0,50.0,3.0,18.0,5.0,32.0,4.0,13.0,7.0,6.0,5.0,2.0,10.0,10.0,14.0,0.0,680.0,59.0,195.0,303.0,194.0,30.0,29.0,17.0,13.0,6.0,4,1,15.0,13.0,0.0,61.0,16.0,14.0
2019-12-15,21:00,La Liga,Matchweek 17,Sun,Away,D,1,1,Valencia,1.7,2.3,64.0,44230.0,Sergio Ramos,4-3-3,4-4-2,José Sánchez,Match Report,,real_madrid,2019-2020,19.0,6.0,17.3,6.0,5.0,2.5,653.0,741.0,11261.0,3410.0,0,0.9,1.1,3.0,77.0,13.0,63.0,15.0,28.0,2.0,35.0,1.0,12.0,7.0,5.0,5.0,2.0,5.0,8.0,9.0,1.0,824.0,52.0,158.0,397.0,273.0,24.0,23.0,12.0,14.0,7.0,2,0,15.0,10.0,1.0,55.0,12.0,13.0
2019-12-18,20:00,La Liga,Matchweek 10,Wed,Away,D,0,0,Barcelona,0.8,0.9,48.0,93426.0,Sergio Ramos,4-1-2-1-2◆,4-3-3,Alejandro Hernández,Match Report,,real_madrid,2019-2020,17.0,3.0,19.8,1.0,1.0,0.1,485.0,579.0,8380.0,2893.0,0,0.7,1.2,5.0,46.0,12.0,42.0,5.0,32.0,6.0,32.0,0.0,15.0,8.0,8.0,6.0,1.0,9.0,13.0,9.0,0.0,666.0,42.0,142.0,317.0,214.0,26.0,23.0,16.0,13.0,7.0,5,0,17.0,5.0,2.0,49.0,13.0,6.0
2019-12-22,21:00,La Liga,Matchweek 18,Sun,Home,D,0,0,Athletic Club,2.5,0.4,69.0,71306.0,Sergio Ramos,4-3-3,5-3-2,Adrián Cordero,Match Report,,real_madrid,2019-2020,20.0,8.0,15.0,2.0,2.0,0.4,679.0,786.0,12337.0,3684.0,0,2.1,1.4,5.0,70.0,18.0,45.0,14.0,37.0,6.0,37.0,0.0,14.0,6.0,5.0,5.0,4.0,6.0,8.0,9.0,1.0,890.0,65.0,222.0,359.0,315.0,37.0,37.0,27.0,11.0,11.0,1,0,8.0,13.0,2.0,54.0,15.0,17.0
2020-01-04,16:00,La Liga,Matchweek 19,Sat,Away,W,3,0,Getafe,1.8,1.3,55.0,15426.0,Karim Benzema,4-3-3,4-4-2,José Luis Munuera,Match Report,,real_madrid,2019-2020,9.0,7.0,14.3,4.0,4.0,0.7,348.0,482.0,5864.0,2432.0,3,1.7,1.1,1.0,18.0,7.0,17.0,5.0,9.0,4.0,17.0,4.0,13.0,10.0,10.0,3.0,0.0,10.0,17.0,40.0,0.0,628.0,83.0,329.0,217.0,83.0,11.0,13.0,8.0,27.0,3.0,2,0,14.0,20.0,4.0,59.0,29.0,16.0
2020-01-18,16:00,La Liga,Matchweek 20,Sat,Home,W,2,1,Sevilla,1.3,0.4,52.0,72512.0,Marcelo,4-3-3,4-3-3,Juan Martínez,Match Report,,real_madrid,2019-2020,13.0,4.0,21.0,3.0,2.0,1.1,502.0,598.0,8409.0,2639.0,2,1.2,0.7,1.0,35.0,9.0,37.0,7.0,14.0,2.0,22.0,4.0,20.0,13.0,8.0,10.0,2.0,12.0,11.0,18.0,1.0,708.0,52.0,179.0,318.0,221.0,21.0,22.0,22.0,16.0,9.0,3,0,17.0,10.0,1.0,53.0,14.0,6.0
2020-01-26,21:00,La Liga,Matchweek 21,Sun,Away,W,1,0,Valladolid,0.6,0.3,61.0,23404.0,Sergio Ramos,4-3-3,4-3-1-2,Ricardo de Burgos,Match Report,,real_madrid,2019-2020,12.0,3.0,22.1,0.0,0.0,0.0,568.0,681.0,8645.0,2443.0,1,0.4,0.7,4.0,36.0,8.0,38.0,5.0,28.0,5.0,17.0,2.0,18.0,12.0,7.0,8.0,3.0,14.0,15.0,17.0,0.0,802.0,54.0,159.0,432.0,220.0,16.0,33.0,29.0,16.0,10.0,3,0,11.0,7.0,1.0,59.0,21.0,14.0
2020-02-01,16:00,La Liga,Matchweek 22,Sat,Home,W,1,0,Atlético Madrid,1.1,0.4,64.0,77223.0,Sergio Ramos,4-2-3-1,4-4-2,Javier Estrada,Match Report,,real_madrid,2019-2020,16.0,5.0,21.2,1.0,1.0,0.0,605.0,705.0,10849.0,3328.0,1,1.0,1.0,1.0,58.0,14.0,50.0,18.0,26.0,5.0,29.0,2.0,20.0,11.0,9.0,7.0,4.0,11.0,13.0,15.0,0.0,822.0,54.0,220.0,391.0,215.0,22.0,22.0,22.0,13.0,10.0,2,0,18.0,11.0,0.0,62.0,7.0,12.0
2020-02-09,16:00,La Liga,Matchweek 23,Sun,Away,W,4,1,Osasuna,2.6,0.9,55.0,17000.0,Sergio Ramos,4-3-3,4-4-2,Jesús Gil,Match Report,,real_madrid,2019-2020,17.0,6.0,14.4,4.0,3.0,0.8,442.0,564.0,8014.0,2800.0,3,1.7,1.9,3.0,49.0,11.0,29.0,13.0,20.0,3.0,29.0,7.0,17.0,8.0,3.0,11.0,3.0,5.0,12.0,21.0,2.0,688.0,62.0,229.0,337.0,130.0,23.0,29.0,12.0,14.0,11.0,2,0,15.0,10.0,3.0,72.0,19.0,8.0
2020-02-16,21:00,La Liga,Matchweek 24,Sun,Home,D,2,2,Celta Vigo,2.0,1.0,66.0,62477.0,Sergio Ramos,4-3-3,3-5-2,Alberola Rojas,Match Report,,real_madrid,2019-2020,14.0,3.0,18.7,3.0,1.0,2.1,603.0,719.0,10572.0,2952.0,1,1.2,1.7,5.0,85.0,12.0,71.0,20.0,38.0,9.0,29.0,4.0,19.0,9.0,1.0,13.0,5.0,12.0,6.0,10.0,0.0,817.0,28.0,106.0,390.0,327.0,50.0,34.0,25.0,8.0,13.0,2,0,10.0,9.0,3.0,65.0,18.0,13.0
2020-02-22,21:00,La Liga,Matchweek 25,Sat,Away,L,0,1,Levante,1.9,0.7,63.0,23566.0,Sergio Ramos,4-3-3,4-4-2,Alejandro Hernández,Match Report,,real_madrid,2019-2020,19.0,7.0,18.0,2.0,1.0,0.3,553.0,657.0,8954.0,3155.0,0,1.7,1.7,4.0,61.0,14.0,43.0,19.0,33.0,7.0,35.0,0.0,12.0,8.0,6.0,4.0,2.0,11.0,9.0,14.0,0.0,759.0,54.0,180.0,311.0,269.0,46.0,36.0,28.0,11.0,7.0,2,0,10.0,15.0,5.0,58.0,8.0,9.0
2020-03-01,21:00,La Liga,Matchweek 26,Sun,Home,W,2,0,Barcelona,1.1,1.5,44.0,78357.0,Sergio Ramos,4-1-4-1,4-4-2,Antonio Matéu Lahoz,Match Report,,real_madrid,2019-2020,13.0,4.0,17.7,4.0,4.0,1.8,456.0,535.0,7704.0,2699.0,2,0.9,1.2,5.0,46.0,11.0,40.0,11.0,24.0,8.0,25.0,3.0,19.0,10.0,9.0,7.0,3.0,15.0,13.0,12.0,0.0,650.0,58.0,173.0,253.0,228.0,45.0,29.0,20.0,15.0,9.0,2,0,13.0,9.0,3.0,53.0,7.0,4.0
2020-03-08,21:00,La Liga,Matchweek 27,Sun,Away,L,1,2,Betis,2.1,1.3,57.0,51521.0,Sergio Ramos,4-1-4-1,4-4-1-1,José González,Match Report,,real_madrid,2019-2020,13.0,3.0,15.7,3.0,1.0,1.2,482.0,602.0,8610.0,3038.0,0,1.3,1.5,6.0,53.0,12.0,32.0,11.0,27.0,2.0,25.0,2.0,14.0,10.0,7.0,6.0,1.0,11.0,10.0,19.0,2.0,714.0,72.0,237.0,308.0,180.0,29.0,18.0,17.0,11.0,7.0,1,0,11.0,7.0,6.0,64.0,16.0,7.0
2020-06-14,19:30,La Liga,Matchweek 28,Sun,Home,W,3,1,Eibar,1.0,0.5,55.0,,Sergio Ramos,4-3-3,4-1-4-1,Guillermo Cuadra,Match Report,,real_madrid,2019-2020,6.0,5.0,13.2,5.0,4.0,1.1,517.0,623.0,9106.0,2894.0,1,1.0,1.3,2.0,33.0,4.0,24.0,16.0,9.0,3.0,11.0,5.0,13.0,9.0,11.0,1.0,1.0,14.0,12.0,23.0,2.0,727.0,93.0,302.0,313.0,116.0,18.0,15.0,9.0,6.0,13.0,1,0,11.0,11.0,2.0,52.0,14.0,11.0
