Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Marc-André ter Stegen,de GER,GK,30.0,38,38,3347.0,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,barcelona,2022-2023
Robert Lewandowski,pl POL,FW,33.0,34,33,2847.0,31.6,23.0,7.0,30.0,23.0,0.0,1.0,4.0,1.0,24.3,23.5,6.3,29.8,51.0,100.0,248.0,0.73,0.22,0.95,0.73,0.95,0.77,0.2,0.97,0.74,0.94,Matches,barcelona,2022-2023
Gavi,es ESP,"MF,FW",17.0,36,30,2531.0,28.1,2.0,4.0,6.0,2.0,0.0,0.0,10.0,0.0,3.2,3.2,3.7,6.9,49.0,134.0,153.0,0.07,0.14,0.21,0.07,0.21,0.11,0.13,0.24,0.11,0.24,Matches,barcelona,2022-2023
Alejandro Balde,es ESP,DF,18.0,33,30,2471.0,27.5,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0,1.9,1.9,4.9,6.8,95.0,79.0,234.0,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25,Matches,barcelona,2022-2023
Frenkie de Jong,nl NED,MF,25.0,33,29,2534.0,28.2,2.0,4.0,6.0,2.0,0.0,0.0,3.0,0.0,2.4,2.4,4.3,6.7,92.0,280.0,83.0,0.07,0.14,0.21,0.07,0.21,0.09,0.15,0.24,0.09,0.24,Matches,barcelona,2022-2023
Jules Koundé,fr FRA,DF,23.0,29,28,2426.0,27.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,2.8,3.9,58.0,185.0,61.0,0.04,0.11,0.15,0.04,0.15,0.04,0.1,0.15,0.04,0.15,Matches,barcelona,2022-2023
Sergio Busquets,es ESP,MF,34.0,30,28,2339.0,26.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0,1.0,0.4,0.4,2.8,3.3,26.0,254.0,32.0,0.0,0.15,0.15,0.0,0.15,0.02,0.11,0.13,0.02,0.13,Matches,barcelona,2022-2023
Raphinha,br BRA,FW,25.0,36,25,2072.0,23.0,7.0,7.0,14.0,7.0,0.0,0.0,9.0,0.0,9.3,9.3,9.8,19.1,97.0,104.0,339.0,0.3,0.3,0.61,0.3,0.61,0.41,0.43,0.83,0.41,0.83,Matches,barcelona,2022-2023
Pedri,es ESP,MF,19.0,26,22,1976.0,22.0,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,4.9,4.9,5.0,9.9,67.0,184.0,99.0,0.27,0.05,0.32,0.27,0.32,0.22,0.23,0.45,0.22,0.45,Matches,barcelona,2022-2023
Andreas Christensen,dk DEN,DF,26.0,23,22,1760.0,19.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.5,1.5,18.0,91.0,5.0,0.05,0.05,0.1,0.05,0.1,0.05,0.03,0.08,0.05,0.08,Matches,barcelona,2022-2023
Ronald Araújo,uy URU,DF,23.0,22,21,1800.0,20.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,2.1,2.1,0.8,2.9,29.0,79.0,11.0,0.0,0.1,0.1,0.0,0.1,0.1,0.04,0.15,0.1,0.15,Matches,barcelona,2022-2023
Ousmane Dembélé,fr FRA,FW,25.0,25,16,1410.0,15.7,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,3.9,3.9,4.9,8.8,124.0,74.0,209.0,0.32,0.45,0.77,0.32,0.77,0.25,0.31,0.56,0.25,0.56,Matches,barcelona,2022-2023
Eric García,es ESP,"DF,MF",21.0,24,15,1417.0,15.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.2,1.8,24.0,105.0,6.0,0.06,0.0,0.06,0.06,0.06,0.1,0.02,0.11,0.1,0.11,Matches,barcelona,2022-2023
Sergi Roberto,es ESP,"DF,MF",30.0,23,15,1308.0,14.5,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,2.4,2.4,0.9,3.3,48.0,97.0,72.0,0.28,0.07,0.34,0.28,0.34,0.17,0.06,0.23,0.17,0.23,Matches,barcelona,2022-2023
Jordi Alba,es ESP,DF,33.0,24,14,1419.0,15.8,2.0,3.0,5.0,2.0,0.0,0.0,6.0,1.0,0.8,0.8,6.2,7.0,42.0,141.0,157.0,0.13,0.19,0.32,0.13,0.32,0.05,0.4,0.44,0.05,0.44,Matches,barcelona,2022-2023
Ferrán Torres,es ESP,"FW,MF",22.0,33,14,1392.0,15.5,4.0,2.0,6.0,4.0,0.0,1.0,5.0,1.0,4.9,4.1,4.1,8.2,43.0,44.0,180.0,0.26,0.13,0.39,0.26,0.39,0.32,0.26,0.58,0.27,0.53,Matches,barcelona,2022-2023
Ansu Fati,es ESP,FW,19.0,36,12,1393.0,15.5,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,9.1,9.1,1.7,10.7,47.0,48.0,178.0,0.45,0.19,0.65,0.45,0.65,0.59,0.11,0.69,0.59,0.69,Matches,barcelona,2022-2023
Marcos Alonso,es ESP,DF,31.0,24,11,1172.0,13.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.3,1.2,26.0,71.0,13.0,0.08,0.0,0.08,0.08,0.08,0.07,0.03,0.09,0.07,0.09,Matches,barcelona,2022-2023
