Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches_90,team_name,season
Thibaut Courtois,be BEL,GK,29.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,real_madrid,2021-2022
Éder Militão,br BRA,DF,23.0,34,34,3031.0,33.7,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,2.5,2.5,1.1,3.5,22.0,102.0,15.0,0.03,0.06,0.09,0.03,0.09,0.07,0.03,0.11,0.07,0.11,Matches,real_madrid,2021-2022
Karim Benzema,fr FRA,FW,33.0,32,31,2593.0,28.8,27.0,12.0,39.0,20.0,7.0,11.0,0.0,0.0,23.7,15.1,7.9,23.0,88.0,177.0,252.0,0.94,0.42,1.35,0.69,1.11,0.83,0.28,1.1,0.52,0.8,Matches,real_madrid,2021-2022
Casemiro,br BRA,MF,29.0,32,31,2569.0,28.5,1.0,3.0,4.0,1.0,0.0,0.0,11.0,0.0,2.5,2.5,2.8,5.3,23.0,162.0,30.0,0.04,0.11,0.14,0.04,0.14,0.09,0.1,0.19,0.09,0.19,Matches,real_madrid,2021-2022
Vinicius Júnior,br BRA,FW,21.0,35,30,2690.0,29.9,17.0,10.0,27.0,17.0,0.0,0.0,6.0,0.0,12.3,12.3,8.0,20.3,225.0,123.0,485.0,0.57,0.33,0.9,0.57,0.9,0.41,0.27,0.68,0.41,0.68,Matches,real_madrid,2021-2022
David Alaba,at AUT,DF,29.0,30,30,2642.0,29.4,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,2.2,3.8,40.0,154.0,76.0,0.07,0.1,0.17,0.07,0.17,0.06,0.07,0.13,0.06,0.13,Matches,real_madrid,2021-2022
Toni Kroos,de GER,MF,31.0,28,25,2103.0,23.4,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,2.2,2.2,3.2,5.4,40.0,277.0,38.0,0.04,0.13,0.17,0.04,0.17,0.09,0.14,0.23,0.09,0.23,Matches,real_madrid,2021-2022
Luka Modrić,hr CRO,MF,35.0,28,25,2032.0,22.6,2.0,8.0,10.0,1.0,1.0,1.0,4.0,0.0,2.5,1.7,5.2,6.8,67.0,221.0,87.0,0.09,0.35,0.44,0.04,0.4,0.11,0.23,0.34,0.07,0.3,Matches,real_madrid,2021-2022
Lucas Vázquez,es ESP,DF,30.0,29,20,1833.0,20.4,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,2.2,2.2,2.5,4.7,58.0,108.0,156.0,0.15,0.0,0.15,0.15,0.15,0.11,0.12,0.23,0.11,0.23,Matches,real_madrid,2021-2022
Ferland Mendy,fr FRA,DF,26.0,22,20,1734.0,19.3,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,1.4,2.5,71.0,99.0,116.0,0.1,0.05,0.16,0.1,0.16,0.05,0.08,0.13,0.05,0.13,Matches,real_madrid,2021-2022
Federico Valverde,uy URU,MF,23.0,31,19,1833.0,20.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.7,2.6,76.0,129.0,86.0,0.0,0.05,0.05,0.0,0.05,0.05,0.08,0.13,0.05,0.13,Matches,real_madrid,2021-2022
Marco Asensio,es ESP,"FW,MF",25.0,31,19,1731.0,19.2,10.0,0.0,10.0,10.0,0.0,0.0,2.0,0.0,7.5,7.5,2.4,9.9,56.0,80.0,143.0,0.52,0.0,0.52,0.52,0.52,0.39,0.13,0.52,0.39,0.52,Matches,real_madrid,2021-2022
Nacho,es ESP,DF,31.0,28,17,1555.0,17.3,3.0,0.0,3.0,3.0,0.0,0.0,7.0,0.0,1.3,1.3,0.3,1.7,15.0,59.0,10.0,0.17,0.0,0.17,0.17,0.17,0.08,0.02,0.1,0.08,0.1,Matches,real_madrid,2021-2022
Dani Carvajal,es ESP,DF,29.0,24,17,1551.0,17.2,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,2.4,2.9,29.0,73.0,108.0,0.06,0.17,0.23,0.06,0.23,0.03,0.14,0.17,0.03,0.17,Matches,real_madrid,2021-2022
Rodrygo,br BRA,FW,20.0,33,17,1523.0,16.9,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,3.4,3.4,2.4,5.8,76.0,49.0,194.0,0.24,0.24,0.47,0.24,0.47,0.2,0.14,0.34,0.2,0.34,Matches,real_madrid,2021-2022
Eduardo Camavinga,fr FRA,MF,18.0,26,13,1236.0,13.7,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,1.2,1.2,1.0,2.2,30.0,79.0,33.0,0.15,0.07,0.22,0.15,0.22,0.09,0.07,0.16,0.09,0.16,Matches,real_madrid,2021-2022
